speaker,number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,pausepersecond
AdamSavage,3397.5,184.5,4,4.5,740.9,861.3,0.85,166.185,45.1,157.1,66.5,415.5,134.5,190,0.21840497
AdamSpencer,3467,388,3,5,756.5,1037,0.7,172.14,45.86,167.1,78,415,137,202,0.37415622
AdamdelaZerda,2853,290,4,5,581.5,766.2,0.8,112.89,24.55,107.7,79,398,95,126,0.378491256
AditiGupta,2177,216,3,5,479.1,674.5,0.7,215.97,40.99,214,72,412,188,240,0.320237213
AditiShankardass,1402,133,3,4,333.4,433.9,0.8,222.15,38.32,217.4,76,398,199,241,0.30652224
AdoraSvitak,1828,85,4,4,435,489.7,0.9,259.17,52.88,252,77,424,223,292,0.173575659
AfraRaymond,4393,373,4,6,783.4,1086.6,0.7,112.25,28.27,105.2,71,400,93,122,0.343272593
AimeeMullins,3293.5,299,3.5,5,705.45,921,0.7,214.78,48.29,206.3,71.5,422.5,186.5,236.5,0.381282922
AjitNarayanan,3390,493,4,6,588.6,943.3,0.6,201.4,62.44,189.7,71,424,152,239,0.522633309
AlGore,4416.333333,392.3333333,3.333333333,4,1090.133333,1388.033333,0.766666667,152.0766667,42.12,144.4666667,70.33333333,415,123.6666667,172,0.279155929
AlSeckel,2447,200,3,4,595.4,873,0.7,155.08,45.91,143.4,75,399,123,176,0.229095074
AlVernacchio,1515,248,3,5,318.5,501.3,0.6,176.83,51.25,169.2,70,387,138,209,0.494713744
AlaaMurabit,2355,248,3,5,487.8,737,0.7,222.27,54.67,212.4,71,423,184,255,0.336499322
AlaindeBotton,4373.5,286,4,4.5,942.9,1084.3,0.85,146.775,42.01,136.7,74.5,398,116.5,168,0.261102584
AlanEustace,2560,248,3,4,602.9,872.8,0.7,158.07,35.19,153.3,72,400,135,176,0.284142988
AlanKay,3847,368,3,4,865.5,1231.6,0.7,159.66,36.78,151.8,70,419,139,169,0.298798311
AlanRussell,4553,268,4,5,1002.6,1165.6,0.9,126.78,31.59,120.9,72,400,105,142,0.229924502
AlanSiegel,956,79,4,4,220.8,263.2,0.8,115.31,20.08,112.5,78,397,104,123,0.300151976
AlanSmith,2850,304,4,5,566.4,773.9,0.7,148.17,36.88,141.3,79,419,125,164,0.392815609
AlannaShaikh,1202,127,3,4,267.9,383.7,0.7,175.9,39.17,168.6,70,400,151,192,0.330987751
AlastairParvin,2474,350,3,5,523.3,791.5,0.7,136.58,34.37,129.9,71,387,113,153,0.442198358
AlbertoCairo,3529,415,3,5,770.9,1139.2,0.7,171.18,37.79,165.9,65,413,145,193,0.36429073
AlecSoth,1994,210,3,5,428.8,622.6,0.7,169.48,55.83,172.3,70,411,119,206,0.337295214
AlejandroAlvarado,2663,304,3,5,560.2,763.6,0.7,194.31,43.92,190.9,69,389,163,222,0.398114196
AlejandroAravena,3016,274,3,4,711.1,953.2,0.7,188.2,47.56,186.7,72,404,156,217,0.287452791
AlessandraOrofino,2979,274,3,4,736.3,919.9,0.8,281.04,53.2,280.9,77,425,242,319,0.297858463
AlessandroAcquisti,2985,331,3,4,672,900.3,0.7,135.53,34.18,129.3,69,400,111,153,0.367655226
AlexKipman,3383,503,3,5,739.5,1149.8,0.6,161.39,51.95,146.4,68,420,124,189,0.437467386
AlexLaskey,1721,150,4,5,355.8,491.3,0.7,155.01,36.06,150.6,71,397,132,173,0.305312436
AlexSteffen,3392.5,198,4,4.5,725.55,828.9,0.85,138.685,37,131.35,75,387,113.5,155,0.219790725
AlexTabarrok,3048,286,3,5,676.1,873.4,0.8,161.38,36.45,157,72,408,135,184,0.327455919
AlexWissnerGross,2443,317,3,5,517.9,708.8,0.7,136.65,35.77,129.1,72,391,110,157,0.447234763
AlexaMeade,1387,163,3,5,289.8,424,0.7,212.9,47.81,208.8,69,398,187,239,0.384433962
AlexanderBetts,3640.5,447.5,3.5,5,782.65,1070.1,0.75,158.625,41.57,155.1,72,415.5,129,183.5,0.417144812
AlexanderTsiaras,1954,122,3,4,516.3,577.1,0.9,127.4,47.82,115.9,71,388,99,135,0.211401837
AlexisOhanian,1041,80,4,5,220,263.6,0.8,133.82,38.48,122.8,74,421,107,151,0.303490137
AliCarrChellman,2595,231,3,4,597.9,747,0.8,250.08,52.93,247.2,71,423,215,283,0.309236948
AliceBowsLarkin,3123,279,4,5,670.7,867.9,0.8,256.04,54.32,256.9,70,423,225,290,0.321465607
AliceDreger,4885,240,4,5,996.6,1125,0.9,247.02,56.44,236.8,69,424,208,281,0.213333333
AliceGoffman,3448,329,4,5,725.3,968.6,0.7,237.43,45.51,232.5,72,423,210,262,0.339665497
AliceRawsthorn,2687,172,4,4,616.5,708.4,0.9,200.18,46.85,193,79,419,163,225,0.242800678
AliciaGarzaandPatrisseCullorsandOpalTometi,3426,321,4,4,766.7,969.5,0.8,191.91,43.09,187.8,70,423,165,214,0.331098504
AlisaMiller,779,64,3,4,205,263.1,0.8,254.15,52.31,248.5,79,423,218,287,0.243253516
AlisonGopnik,4400,337,4,5,909.2,1106,0.8,246.92,59.57,238.1,71,423,204,286,0.304701627
AlisonJackson,4239,90,4,4,1007.4,1056.6,1,175.16,38.22,169,68,424,153,189,0.085178876
AlisonKilling,1589,126,4,5,319.15,408.55,0.8,233.155,46.305,227,76.5,411.5,201,259.5,0.303028651
AlixGenerous,1965,197,3,4,453.3,631,0.7,198.27,48.91,204.6,71,414,191,222,0.312202853
AllanAdams,1489,202,3,5,305.35,472.65,0.65,182.59,52.305,178.35,75,408.5,144.5,213.5,0.44479941
AllanJones,3733,173,4,5,818.4,918.2,0.9,130.04,32.54,122.1,71,400,113,139,0.188412111
AllanSavory,3907,504,3,4,968.4,1336.5,0.7,122.69,35.69,113.5,71,405,101,135,0.377104377
AllisonHunt,1023,88,4,5,222.3,288.7,0.8,208.42,56.34,197.8,71,424,169,237,0.304814687
AlwarBalasubramaniam,3113,387,3,5,621.9,1007.8,0.6,178.11,39.93,169.6,79,397,150,198,0.384004763
AlysonMcGregor,2578,269,3,4,607.4,933.6,0.7,213.83,47.28,209.5,73,415,183,239,0.288131962
AlyssaMonks,2423,274,3,5,507.1,792.7,0.6,183.7,39.41,183.5,70,410,167,203,0.345654094
AmandaBennett,2464,421,3,5,524.4,924.5,0.6,214.99,50.7,204.1,74,421,179,243,0.455381287
AmandaBurden,3593,352,3,4,857.6,1108.3,0.8,185.5,40.73,179.8,67,421,162,205,0.317603537
AmandaPalmer,2186,385,3,5,474.9,824.2,0.6,176.74,39.97,166.8,80,421,150,192,0.467119631
AmberCase,2125,74,5,5,425,469.8,0.9,236.11,50.17,227.3,76,423,202,265,0.157513836
AmeenahGuribFakim,2790,373,3,5,605.3,856.3,0.7,222.45,46.03,216.4,70,423,191,249,0.435595002
AmeeraHarouda,1499,171,3,4,360,522.9,0.7,262.86,52.16,263.3,72,424,226,299,0.327022375
AmiKlin,3397,591,3,5,720.8,1181.7,0.6,157.96,44.45,149.4,78,404,126,183,0.500126936
AmitSood,2306,187,4,4,519.45,618.5,0.8,153.12,36.685,145.35,74,405,128.5,169,0.292354521
AmoryLovins,5365,274,4,4,1221.3,1399.75,0.9,119.005,26.575,112.95,71,395.5,101,130,0.179449478
AmosWinter,2454,263,4,5,525,674.4,0.8,144.86,36.45,137.4,72,404,119,162,0.389976275
AmyAdeleHasinoff,2861,292,3,4,671.4,869.1,0.8,228.58,56.15,224.8,71,423,192,264,0.335979749
AmyCuddy,4383,662,3,5,863.3,1259.6,0.7,251.99,45.2,246.4,74,423,221,279,0.525563671
AmyGreen,2078,256,3,5,452,638.7,0.7,227.21,50.27,228.8,73,409,203,257,0.400814154
AmyLockwood,840,92,3,5,174.7,253.4,0.7,226.78,53.59,224.8,73,420,192,260,0.363062352
AmyPurdy,1555,264,3,4,347.5,588.9,0.6,256.74,48.86,254.2,71,424,227,285,0.448293428
AmySmith,3221,262,4,4,736.4,900.1,0.8,274.14,51.73,272.5,79,423,239,308,0.291078769
AmyTan,5117,338,4,4,1180.4,1365.9,0.9,198.7,36.4,193.6,65,400,179,215,0.24745589
AmyWebb,3906,387,4,5,802.1,1047.4,0.8,225.19,48.11,216.9,71,424,194,249,0.369486347
AnandAgarawala,1082,57,4,4,242,279.5,0.9,130.4,29.81,124.6,80,387,111,142,0.203935599
AnandGiridharadas,2557.5,505.5,2,4.5,574.9,1108.45,0.5,141.755,33.97,138.35,74.5,397,119.5,158,0.45471339
AnandVarma,1035,130,3,4,235.3,370.2,0.6,160.49,36.83,158,69,410,140,178,0.351161534
AnandaShankar,3707,193,4,5,786.3,963.8,0.8,201.58,67.16,196.7,60,423,135,261,0.200249014
AnantAgarwal,3481,289,4,5,667.5,919.3,0.7,154.25,49.36,143.6,79,398,117,181,0.314369629
AnasAremeyawAnas,2262,348,3,5,478.3,766.8,0.6,150.45,49.08,137.3,73,415,118,166,0.453834116
AnastasiaTaylorLind,1188,124,3,5,254.9,369.8,0.7,176.91,30.34,173.6,71,389,158,191,0.335316387
AndersFjellberg,2896,321,3,5,588.4,885.2,0.7,134.94,30.49,126.9,72,391,114,149,0.362629914
AndersYnnerman,3932,317,4,5,790.3,993.3,0.8,125.44,25.32,118,72,395,110,135,0.319138226
AndrasForgacs,1638,210,3,4,365.1,542.5,0.7,140.03,35.72,134.1,79,400,115,159,0.387096774
AndreaGhez,4205,266,4,5,849.2,982.9,0.9,240.95,66.29,234.3,72,424,196,287,0.270627734
AndreasEkstrom,1905,205,3,5,387.1,562.7,0.7,141.11,40.22,132.2,71,387,112,159,0.36431491
AndreasRaptopoulos,2142,191,4,5,421.6,564.8,0.7,130.09,29.41,125.7,77,387,109,147,0.338172805
AndreasSchleicher,3454,501,3,5,710.4,1184.2,0.6,156.49,32.26,153.9,72,400,133,177,0.423070427
AndresLozano,3744,251,4,5,773.9,934.7,0.8,147.16,33.59,139.2,72,397,126,160,0.268535359
AndresRuzo,2687,335,3,4,621.2,953.9,0.7,169.3,45.08,163.2,70,419,138,194,0.351189852
AndrewBastawrous,1339,112,3,4,302.8,393.6,0.8,104.65,42.95,94.9,79,406,88,106,0.284552846
AndrewBird,3087,261,3,4,805.5,1156.8,0.7,160.86,77.3,127.6,65,424,99,219,0.225622407
AndrewBlum,2354,302,3,5,511.8,716,0.7,115.88,25.63,110.8,79,391,98,128,0.421787709
AndrewConnolly,3592,372,3,5,777.6,1064,0.7,162.6,44.7,154.7,74,416,131,188,0.34962406
AndrewFitzgerald,2436,266,3,4,571.2,715.8,0.8,123.79,39.01,113.4,78,410,98,137,0.371612182
AndrewMcAfee,3364.5,231.5,4,5,724,854.85,0.85,128.245,28.6,123.5,76.5,397,109,141,0.269593823
AndrewMwenda,3926,383,4,5,736.9,1027.9,0.7,238,55.98,232.9,78,423,197,275,0.372604339
AndrewPelling,1314,169,3,4,298.8,429.4,0.7,135.58,47.03,123.1,71,407,104,155,0.393572427
AndrewSolomon,4885,612.3333333,3,5,1058.9,1465.533333,0.7,141.4666667,24.79666667,139,70.33333333,399,126.3333333,153,0.418750477
AndrewYoun,3018,233,4,5,639.6,798.2,0.8,141.17,30.25,134.8,72,396,122,154,0.29190679
AndyHobsbawm,736,27,4,4,180.4,201.9,0.9,114.03,32.38,106.5,70,387,93,124,0.133729569
AndyPuddicombe,1655,284,3,4,368.2,561.1,0.7,160.47,38.71,153.8,74,387,134,179,0.506148637
AndyYen,2726,334,4,5,512.8,733.2,0.7,153.12,33.6,149.3,71,387,130,173,0.45553737
AngelaBelcher,2785,88,4,5,582.3,622.2,0.9,262.39,44.1,256.6,79,423,233,287,0.141433623
AngelaDuckworth,1187,144,3,5,263.2,372.9,0.7,252.43,64.33,249.1,79,425,208,295,0.38616251
AngelaPatton,1518,189,3,4,359.1,524.9,0.7,264.01,57.3,263.3,70,423,226,304,0.360068584
AngelicaDass,1877,282,3,4,461.5,691.2,0.7,208.02,47.65,201.9,70,424,176,234,0.407986111
AngeloVermeulen,1638,156,4,5,323.1,428,0.8,131.47,37.89,123,78,397,107,147,0.364485981
AniLiu,1792,123,4,5,371.5,444.1,0.8,199.96,51.56,198,68,423,180,224,0.276964648
AnilAnanthaswamy,3793,118,4,5,780.6,845.6,0.9,154.48,27.98,152.4,71,387,137,168,0.139545885
AnilGupta,5302,517,4,5,1002.5,1372,0.7,162.99,44.35,154.6,70,393,131,188,0.376822157
AnjaliTripathi,2748,281,4,5,554.1,719.2,0.8,232.45,52.52,225.4,72,422,198,261,0.390711902
AnnCooper,4764,318,4,5,1005.8,1174.5,0.9,287.14,50.14,286.3,77,424,255,321,0.270753512
AnnMarieThomas,891,68,4,5,185.3,245.6,0.8,264.71,62.28,263.5,80,422,216,312,0.276872964
AnnMorgan,2548,242,4,5,542.4,727.8,0.7,228.42,49.34,219.8,79,421,192,259,0.332508931
AnnaDeavereSmith,4529,409,3,4,1017.7,1385.1,0.7,236.52,69.22,227.8,65,424,180,285,0.295285539
AnnaMracekDietrich,2440,117,4,5,495.2,575.3,0.9,207.59,47.34,206.2,70,419,184,232,0.203372154
AnneCurzan,3211,431,3,5,682,1033.5,0.7,244.41,58.76,235.2,70,424,202,283,0.417029511
AnneLamott,2877,282,3,4,721.4,958.3,0.8,215.22,37.21,212.4,71,404,190,236,0.294271105
AnneMarieSlaughter,3129,393,3,4,726.8,1031.5,0.7,219.12,46.91,215,74,420,186,248,0.380998546
AnneMilgram,3107,273,4,5,571.6,761.7,0.8,185.56,32.43,180,71,393,164,203,0.358408822
AnnetteHeuser,2196,179,4,5,452.4,589.8,0.8,224.94,46.91,223.3,72,416,194,255,0.303492709
AnnieLennox,2038,198,4,5,427.2,552.9,0.8,208.18,34.04,205,65,415,186,226,0.358111774
AnnieMurphyPaul,3569,307,4,5,784.3,1003.1,0.8,177.7,29.01,174,71,416,158,193,0.306051241
AnoteTong,4582,555,4,5,947.7,1279.2,0.7,122.54,33.19,115.6,71,421,101,135,0.433864916
AnthonyAtala,3611.5,275.5,3.5,4,853.65,1040,0.8,142.54,31.895,137.15,73.5,401,121,158,0.26485453
AnthonyDRomero,2078,283,3,4,492.1,772.1,0.6,121.7,35.1,114.3,74,408,100,134,0.366532833
AnthonyGoldbloom,1030,108,4,5,205.5,280.5,0.7,126.75,33.6,119.1,79,394,103,140,0.385026738
AntonioDamasio,4541,265,4,5,996.8,1119.5,0.9,136.25,30.39,130.9,71,387,115,152,0.236712818
AntonioGuterres,4884,417,4,5,978.2,1198,0.8,158.79,43.54,150.7,62,415,128,182,0.348080134
AntonyGormley,2498,429,3,4,572.3,952.9,0.6,111.21,37.38,101.3,70,399,90,121,0.450204638
AnupamMishra,3104,471,3,4,764,1031.5,0.7,149.18,34.94,140.8,70,399,126,165,0.456616578
AomawaShields,1072,94,3,4,249.2,329.5,0.8,186.56,43.69,176.4,70,402,157,209,0.285280728
AparnaRao,2058,117,4,5,420.2,501.55,0.85,194.58,35.485,187.9,73.5,410.5,171,210.5,0.233423085
ApolloRobbins,1872,158,4,5,394.6,527.3,0.7,169.66,40.67,166,71,389,141,195,0.299639674
AriWallach,2860,285,3,5,580.8,826.8,0.7,177.05,44.79,167.6,69,419,143,201,0.344702467
AriannaHuffington,794,58,3,4,197.6,247.6,0.8,262.7,59.47,261.2,73,424,225,303,0.234248788
ArielGarten,3258,300,4,5,641.1,900.7,0.7,263.99,46.38,261,79,423,234,292,0.333074276
ArisVenetikidis,3611,317,4,5,759.6,992.7,0.8,152.7,39.59,145.8,73,400,124,176,0.319331117
ArthurBenjamin,1680,154.3333333,3.333333333,4.333333333,388.4333333,492.6666667,0.8,193.6666667,50.65666667,187.0666667,75.33333333,416.6666667,159.3333333,222.6666667,0.341190896
ArthurBrooks,2993,341,3,5,618.2,858.6,0.7,169.52,48.23,161.4,69,417,135,198,0.397158164
ArthurGanson,3256,191,3,4,800.5,938.1,0.9,143.84,40.7,135.9,75,400,117,158,0.203603027
ArthurPottsDawson,2023,218,4,5,409.2,525.9,0.8,112.86,24.36,106.8,78,395,97,122,0.414527477
ArunachalamMuruganantham,2042,190,4,5,423.2,557.8,0.8,199.09,53.92,191,72,420,165,224,0.34062388
ArvindGupta,3152,326,3,4,700.6,927.2,0.8,230.01,59.36,218,77,421,183,270,0.351596204
AshBeckham,2007.5,383,3,5,423.55,751.05,0.6,166.42,43.225,157.35,77,417.5,136.5,187.5,0.500412008
AshadeVos,1069,125,3,4,250.6,349.1,0.7,223.29,55.71,216.6,74,422,184,258,0.358063592
AsherHasan,691,144,3,4,167.8,265.3,0.6,152.1,33.53,145.6,79,387,131,163,0.542781757
AshleyJudd,3057,293,3,4,707.5,974.8,0.7,229.48,59.49,221.4,73,424,185,266,0.300574477
AshrafGhani,3427,417,3,5,720.8,1119.3,0.6,189.75,58.26,188.1,71,421,147,226,0.372554275
AshtonCofer,1320,152,4,5,272.2,365.6,0.7,174.64,35.8,172.5,71,400,152,193,0.415754923
AspenBaker,2124,200,3,5,462.7,662.6,0.7,184.86,48.63,176.6,70,419,155,208,0.301841232
AstroTeller,2784,336,3,4,649.2,936.8,0.7,139.12,37.51,133.8,71,401,113,158,0.358667805
AtulGawande,3810,401,3,5,845.5,1156,0.7,133.06,28.26,129,72,403,113,148,0.346885813
AubreydeGrey,5450,483,4,5,1108.8,1368.6,0.8,148.89,47.78,135.7,70,415,116,168,0.352915388
AudreyChoi,2793,283,4,5,536.7,758.5,0.7,201.39,54.03,190.4,70,421,165,233,0.373104812
AukeIjspeert,3411,268,4,5,654.4,854.2,0.8,164.85,44.02,157.6,71,408,136,183,0.313743854
