speaker,start,duration,meanF0,stdevF0,hnr,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,filename,gender
AbigailWashburn,194.9013462,5.266923077,195.0395643,40.74949775,13.76914748,0.017922427,9.37E-05,0.007636432,0.008022945,0.022909297,0.071760592,0.716549926,0.029289871,0.03913589,0.061335996,0.087869613,AbigailWashburn_2012U,F
AbrahamVerghese,559.816519,6.515632911,140.2326517,25.59697834,8.798093654,0.022766072,0.0001641,0.008879569,0.011018787,0.026638708,0.116565963,1.111147379,0.048697176,0.068797756,0.118180371,0.146091527,AbrahamVerghese_2011G,M
AchenyoIdachaba,221.2280769,6.950576923,194.6795935,52.72301906,10.35511923,0.024647748,0.000127814,0.011025645,0.012331239,0.033076935,0.108754319,1.091798382,0.048141428,0.065733469,0.104684066,0.144424284,AchenyoIdachaba_2015W,F
AdamDavidson,590.6574306,7.453680556,157.6269596,40.11670403,9.049460982,0.024112822,0.000155299,0.009638656,0.011201649,0.028915968,0.126645776,1.178418179,0.057714384,0.077015542,0.121346002,0.173143153,AdamDavidson_2012S,M
AdamDriver,517.2128873,6.120070423,161.0872596,31.12272211,10.30246213,0.026198596,0.000168528,0.01081212,0.012975072,0.032436361,0.117340686,1.142233117,0.04834935,0.069351772,0.120459012,0.145048051,AdamDriver_2015P,M
AdamFoss,472.3918792,5.597986577,134.0403316,33.13996783,7.873386469,0.023976454,0.000183009,0.009439653,0.011993686,0.02831896,0.115519358,1.118410749,0.048498976,0.069632955,0.116075054,0.145496928,AdamFoss_2016,M
AdamGalinsky,445.8264394,6.24219697,219.2572338,49.16417361,12.19248725,0.022250004,0.000104515,0.008862361,0.009864424,0.026587084,0.099766829,0.977963004,0.041166184,0.055848999,0.092253716,0.123498552,AdamGalinsky_2016X,M
AdamGarone,482.317554,5.99294964,138.0304513,27.05491488,9.08567217,0.022771347,0.000167306,0.008192669,0.010648583,0.024578006,0.130957746,1.206893647,0.056410227,0.079662195,0.138251901,0.169230682,AdamGarone_2011X,M
AdamGrant,432.5340602,5.781466165,206.3792006,53.47969781,9.992539184,0.025064896,0.000125749,0.010267719,0.012051013,0.030803158,0.118233802,1.134061964,0.04973177,0.070064051,0.117391376,0.149195309,AdamGrant_2016,M
AdamGrant,432.5340602,5.781466165,206.3792006,53.47969781,9.992539184,0.025064896,0.000125749,0.010267719,0.012051013,0.030803158,0.118233802,1.134061964,0.04973177,0.070064051,0.117391376,0.149195309,AdamGrant_2016S,M
AdamGrosser,128.2026087,6.273043478,124.0640438,28.77102296,8.73478401,0.027316622,0.000224231,0.011578256,0.013893437,0.034734767,0.121401153,1.134377243,0.051743867,0.07434487,0.119561745,0.155231601,AdamGrosser_2007,M
AdamOckelford,372.4840449,5.990224719,119.944167,30.43381751,7.314487002,0.026988349,0.000231812,0.012003569,0.013671301,0.036010708,0.143055311,1.315242695,0.065532483,0.091030944,0.153838873,0.19659745,AdamOckelford_2013X,M
AdamOstrow,152.3615909,6.293181818,145.3216027,29.70427089,10.50838671,0.023047669,0.000159454,0.009101112,0.010810306,0.027303335,0.112954708,1.051965263,0.045561501,0.065328224,0.111969096,0.136684502,AdamOstrow_2011G,M
AdamSadowsky,212.9596364,6.268727273,144.5513166,38.11472845,6.851485003,0.026570903,0.000186972,0.011385171,0.014444534,0.034155514,0.124533313,1.166066117,0.057870576,0.076289655,0.113961628,0.173611728,AdamSadowsky_2010X,M
AdamSavage,413.9847826,7.277777778,165.3846308,38.9736194,10.5555741,0.028307536,0.000175383,0.011521237,0.014230416,0.03456371,0.115544835,1.114652835,0.049771061,0.070166521,0.113065805,0.149313183,AdamSavage_2008P,M
AdamSavage,413.9847826,7.277777778,165.3846308,38.9736194,10.5555741,0.028307536,0.000175383,0.011521237,0.014230416,0.03456371,0.115544835,1.114652835,0.049771061,0.070166521,0.113065805,0.149313183,AdamSavage_2016,M
AdamSpencer,539.8038667,5.651866667,170.707981,37.94941291,11.019255,0.021382992,0.000129168,0.007781835,0.009424811,0.023345505,0.101162266,0.997859819,0.037588144,0.05476832,0.100246157,0.112764433,AdamSpencer_2013,M
AdamdelaZerda,384.2794309,5.910650407,111.2430768,23.06309365,8.762343497,0.031684514,0.000287742,0.012119971,0.01434759,0.036359913,0.133790327,1.241916002,0.052134058,0.07799828,0.139138948,0.156402173,AdamdelaZerda_2016X,M
AditiGupta,324.4428571,5.848265306,213.5613039,38.03223974,12.60397579,0.021102832,0.000102042,0.009682954,0.011510313,0.029048863,0.110511414,1.105579281,0.04579012,0.064471856,0.108591367,0.137370359,AditiGupta_2015X,F
AditiShankardass,217.3759375,6.270625,218.4958446,36.4602621,8.963301305,0.016408588,7.58E-05,0.007238247,0.007772573,0.021714742,0.108332768,1.058319395,0.047806007,0.062450715,0.097596243,0.143418021,AditiShankardass_2009I,F
AdoraSvitak,235.8338095,6.781587302,266.9476126,55.87576633,11.63360666,0.016554832,6.30E-05,0.00678876,0.007637126,0.020366281,0.087546448,0.871039533,0.037607917,0.050623057,0.082661419,0.112823752,AdoraSvitak_2010,F
AfraRaymond,534.6440984,5.324972678,112.2910114,22.74939952,8.490856804,0.035707752,0.000329143,0.014487505,0.018149895,0.043462514,0.151364675,1.324011433,0.058336535,0.082590962,0.135077425,0.175009605,AfraRaymond_2012X,M
AimeeMullins,465.3629864,5.498642534,213.4686365,39.64377827,10.25261834,0.019707934,9.37E-05,0.00906799,0.009862441,0.02720397,0.120225191,1.155234718,0.053159567,0.073082758,0.115579169,0.159478701,AimeeMullins_1998,F
AimeeMullins,465.3629864,5.498642534,213.4686365,39.64377827,10.25261834,0.019707934,9.37E-05,0.00906799,0.009862441,0.02720397,0.120225191,1.155234718,0.053159567,0.073082758,0.115579169,0.159478701,AimeeMullins_2009U,F
AjitNarayanan,464.0325185,5.978074074,204.953939,58.63862068,10.96291421,0.026364801,0.000132702,0.010516425,0.012770781,0.031549275,0.125353123,1.187146029,0.050691258,0.072828077,0.12858025,0.152073775,AjitNarayanan_2013,M
AlGore,717.3834574,6.113102837,152.5615489,34.03677454,9.046456019,0.024789696,0.000171077,0.009850371,0.011627677,0.029551113,0.105806828,1.028827613,0.046200051,0.062624774,0.101924389,0.138600152,AlGore_2006,M
AlGore,717.3834574,6.113102837,152.5615489,34.03677454,9.046456019,0.024789696,0.000171077,0.009850371,0.011627677,0.029551113,0.105806828,1.028827613,0.046200051,0.062624774,0.101924389,0.138600152,AlGore_2008,M
AlGore,717.3834574,6.113102837,152.5615489,34.03677454,9.046456019,0.024789696,0.000171077,0.009850371,0.011627677,0.029551113,0.105806828,1.028827613,0.046200051,0.062624774,0.101924389,0.138600152,AlGore_2016,M
AlSeckel,367.9752222,5.262555556,154.7546391,34.70722059,10.39725485,0.025796092,0.00017449,0.01039799,0.012481684,0.031193971,0.105945229,1.041326775,0.045427631,0.065129432,0.109679202,0.136282894,AlSeckel_2004,M
AlVernacchio,245.914,6.238533333,171.2457116,44.7812698,11.59342226,0.024411877,0.000147437,0.008978852,0.010590495,0.026936556,0.115658086,1.086817848,0.047549199,0.066499095,0.107899304,0.142647596,AlVernacchio_2012,M
AlaaMurabit,382.4784259,5.918703704,226.7352486,50.87297077,10.42765442,0.022157987,0.000100183,0.009623986,0.010746884,0.028871957,0.093739674,0.95809896,0.040564904,0.055882389,0.088538373,0.121694712,AlaaMurabit_2015W,F
AlaindeBotton,543.3067803,7.226515152,144.939921,40.05552598,8.283284657,0.029523209,0.000207566,0.01153421,0.013939121,0.034602631,0.125665282,1.175960887,0.054377717,0.075797408,0.121654178,0.16313315,AlaindeBotton_2009G,M
AlaindeBotton,543.3067803,7.226515152,144.939921,40.05552598,8.283284657,0.029523209,0.000207566,0.01153421,0.013939121,0.034602631,0.125665282,1.175960887,0.054377717,0.075797408,0.121654178,0.16313315,AlaindeBotton_2011G,M
AlanEustace,421.4696552,5.809568966,159.5077242,29.33655424,10.26429855,0.022080344,0.000141032,0.009451372,0.011271328,0.028354116,0.102330264,1.027342114,0.045346651,0.06222684,0.098657333,0.136039952,AlanEustace_2015,M
AlanKay,557.0774317,5.322295082,155.3622109,24.22288023,9.67396742,0.021241736,0.000138414,0.009309711,0.011224294,0.027929134,0.115220113,1.103166896,0.051581675,0.073030996,0.114132169,0.154745025,AlanKay_2007,M
AlanRussell,559.5548299,6.940544218,127.5802241,28.29776633,9.255391384,0.025869417,0.000206258,0.010653972,0.013150158,0.031961917,0.116029714,1.099342965,0.051384052,0.071565312,0.114399233,0.154152156,AlanRussell_2006,M
AlanSiegel,118.97,7.087096774,116.687622,17.102877,11.77349196,0.025742246,0.000223335,0.010456994,0.013673819,0.031370981,0.095462578,0.967422886,0.040107071,0.057854268,0.098574457,0.120321214,AlanSiegel_2010,M
AlanSmith,388.1214516,5.774435484,150.6348171,36.38803792,10.16792593,0.026982824,0.000182622,0.010575173,0.012915629,0.03172552,0.120003792,1.156239033,0.048237066,0.07007852,0.118253073,0.144711197,AlanSmith_2016X,M
AlannaShaikh,184.461129,5.243548387,175.4749596,36.07770737,9.698777781,0.026110364,0.000151791,0.010932429,0.012744541,0.032797286,0.093231547,0.933837929,0.039405483,0.053713166,0.085128096,0.118216449,AlannaShaikh_2012G,F
AlastairParvin,364.8107965,6.023274336,135.0546694,31.25494745,9.62187688,0.025220382,0.000190012,0.008961509,0.011273485,0.026884528,0.116705651,1.098385614,0.04561518,0.064772191,0.115733718,0.136845541,AlastairParvin_2013,M
AlbertoCairo,570.3373006,5.330490798,170.1059736,32.89907016,9.982246817,0.028525686,0.00017179,0.0127118,0.013874776,0.038135399,0.098958663,0.992115115,0.041704525,0.056040465,0.09214475,0.125113574,AlbertoCairo_2011X,M
AlecSoth,319.5326136,5.946931818,168.7937656,39.22260282,9.988520414,0.024814358,0.000156703,0.011132148,0.012914292,0.033396443,0.114828009,1.146409598,0.049590801,0.069368509,0.113043441,0.148772403,AlecSoth_2015,M
AlejandroAlvarado,367.6705882,5.974537815,193.9335311,40.19721134,12.72894056,0.022563909,0.000118149,0.009016572,0.010370415,0.027049715,0.09557409,0.978321322,0.037570014,0.052068251,0.089361426,0.112710042,AlejandroAlvarado_2016X,M
AlejandroAravena,453.4467442,6.206356589,184.7461886,41.47487536,10.7451774,0.028071589,0.000155686,0.012004316,0.014508008,0.036012949,0.09118129,0.97039633,0.04145402,0.057319596,0.088211061,0.12436206,AlejandroAravena_2014G,M
AlessandraOrofino,446.8871654,6.525433071,289.466809,55.19109386,15.63613676,0.018156225,6.36E-05,0.008201659,0.009270493,0.024604976,0.072814394,0.78517676,0.031084759,0.042015562,0.067858971,0.093254277,AlessandraOrofino_2014G,F
AlessandroAcquisti,470.9394167,6.732416667,135.5738066,34.08131618,10.06300049,0.027513363,0.000206205,0.008822936,0.011630014,0.026468809,0.107642869,1.013152141,0.043138082,0.060575227,0.104317734,0.129414246,AlessandroAcquisti_2013G,M
AlexKipman,528.6112222,5.348444444,164.9820726,47.55507092,7.91935332,0.028329688,0.000177384,0.012169582,0.014364705,0.036508745,0.121364823,1.187749676,0.053811782,0.07422971,0.122235321,0.161435345,AlexKipman_2016,M
AlexLaskey,242.5415278,6.162638889,153.7916494,35.2275446,9.103790263,0.021775731,0.000143222,0.008509797,0.01049181,0.02552939,0.110471021,1.063349427,0.045106657,0.064610722,0.114207997,0.135319972,AlexLaskey_2013,M
AlexSteffen,453.1616901,7.125868545,135.5975834,32.25603022,9.680986277,0.02691484,0.00020242,0.009299396,0.012448745,0.027898188,0.113104044,1.071405233,0.046258894,0.065053102,0.107069575,0.138776683,AlexSteffen_2005G,M
AlexSteffen,453.1616901,7.125868545,135.5975834,32.25603022,9.680986277,0.02691484,0.00020242,0.009299396,0.012448745,0.027898188,0.113104044,1.071405233,0.046258894,0.065053102,0.107069575,0.138776683,AlexSteffen_2011G,M
AlexTabarrok,407.7419835,6.238181818,161.7924332,33.92803236,12.39576933,0.023116592,0.000145712,0.009723307,0.011669506,0.02916992,0.094230895,0.948886647,0.039708346,0.056962058,0.094682143,0.119125038,AlexTabarrok_2009,M
AlexWissnerGross,341.4386598,6.524742268,135.6054382,33.34408332,8.945389488,0.028812819,0.000217523,0.010017225,0.012984109,0.030051676,0.121644919,1.120200996,0.050680658,0.069468088,0.113120493,0.152041973,AlexWissnerGross_2013X,M
AlexaMeade,205.7998438,5.92875,213.3030707,44.7248218,11.93290256,0.020103222,9.51E-05,0.00873366,0.009218513,0.026200981,0.108059381,1.024727222,0.044514757,0.060103196,0.098715897,0.13354427,AlexaMeade_2013G,F
AlexanderBetts,517.8228053,6.438382838,161.6891663,43.2818989,9.10551657,0.026632118,0.000167165,0.010334528,0.012666744,0.031003585,0.119860455,1.146605107,0.04978766,0.071052175,0.117360174,0.14936298,AlexanderBetts_2016,M
AlexanderBetts,517.8228053,6.438382838,161.6891663,43.2818989,9.10551657,0.026632118,0.000167165,0.010334528,0.012666744,0.031003585,0.119860455,1.146605107,0.04978766,0.071052175,0.117360174,0.14936298,AlexanderBetts_2016T,M
AlexanderTsiaras,294.9238298,10.99638298,122.414606,32.79779043,7.898691751,0.025957605,0.000213905,0.010764,0.013770304,0.032292001,0.135493407,1.243543598,0.061495988,0.082157465,0.128911489,0.184487965,AlexanderTsiaras_2010P,M
AlexisOhanian,128.3172414,7.493103448,130.385651,29.71133531,7.227439395,0.025866441,0.000200387,0.009955549,0.012478151,0.029866646,0.141948356,1.311265233,0.058247723,0.083028618,0.151952212,0.174743168,AlexisOhanian_2009I,M
AliCarrChellman,374.1398261,6.202521739,252.4261945,51.36359826,14.48872911,0.020248149,8.17E-05,0.00854731,0.009090228,0.025641931,0.077715446,0.769556309,0.033909396,0.043780179,0.067226188,0.101728187,AliCarrChellman_2010X,F
AliceBowsLarkin,415.5837903,6.492580645,258.3942326,48.96201778,12.76781026,0.021432656,8.46E-05,0.008966871,0.010456651,0.026900614,0.088269338,0.91938831,0.036686484,0.05153941,0.084899789,0.110059452,AliceBowsLarkin_2015G,F
AliceDreger,555.3955844,6.877922078,253.2864987,59.31282465,11.89063097,0.024762087,9.89E-05,0.011381729,0.013461213,0.034145188,0.124038636,1.188800796,0.055800432,0.080211306,0.125367967,0.167401295,AliceDreger_2011X,F
AliceGoffman,488.9625373,6.436865672,241.650109,44.37252435,11.82730048,0.023136602,9.66E-05,0.009895343,0.01190774,0.02968603,0.106367116,1.052051518,0.044440556,0.062339323,0.103234792,0.133321667,AliceGoffman_2015,F
AliceRawsthorn,335.891519,8.316962025,200.6013613,44.39560789,11.9404394,0.02065797,0.000103719,0.008692858,0.010507336,0.026078573,0.096135675,0.96639806,0.041708805,0.057159097,0.089153256,0.125126416,AliceRawsthorn_2016,F
AliciaGarzaandPatrisseCullorsandOpalTometi,472.9077857,6.151857143,191.4523454,43.35146713,11.00566869,0.024193298,0.00013044,0.010430082,0.011737753,0.031290247,0.099683761,0.977427999,0.040878613,0.055714444,0.090258058,0.12263584,AliciaGarzaandPatrisseCullorsandOpalTometi_2016W,F
AlisaMiller,122.9955882,5.291176471,264.3864008,52.79658531,12.15108848,0.018077616,6.96E-05,0.008189253,0.008999119,0.02456776,0.080751334,0.831327316,0.035585975,0.047950285,0.073092449,0.106757924,AlisaMiller_2008,F
AlisonGopnik,508.9018898,7.164173228,255.8240554,67.99478151,10.20634995,0.025249179,0.000100266,0.011429231,0.012792163,0.034287693,0.112860982,1.123183509,0.051437076,0.070575257,0.108898904,0.154311227,AlisonGopnik_2011G,F
AlisonJackson,480.7995425,5.765424837,172.6498173,34.02503902,9.158306246,0.028031741,0.000165121,0.013235587,0.015090357,0.039706762,0.105838406,1.066510785,0.048216168,0.068082873,0.103779316,0.144648505,AlisonJackson_2005G,F
AlisonKilling,214.7070796,6.572389381,240.0428827,49.25811065,10.78236869,0.020281592,8.56E-05,0.008381115,0.009715468,0.025143346,0.105855415,1.033436244,0.042022686,0.059306759,0.100475784,0.126068058,AlisonKilling_2014U,F
AlisonKilling,214.7070796,6.572389381,240.0428827,49.25811065,10.78236869,0.020281592,8.56E-05,0.008381115,0.009715468,0.025143346,0.105855415,1.033436244,0.042022686,0.059306759,0.100475784,0.126068058,AlisonKilling_2014X,F
AlixGenerous,309.2689157,5.466024096,199.7276378,45.87879421,11.58191323,0.022075904,0.000112196,0.010480451,0.011566624,0.031441353,0.097195941,1.013590423,0.04192779,0.057527168,0.094867265,0.125783369,AlixGenerous_2015W,F
AllanAdams,277.460979,5.748181818,181.193847,48.9205011,9.212779572,0.028580033,0.000163998,0.01181495,0.013991218,0.035444851,0.124596604,1.186828486,0.053695737,0.07480561,0.123062909,0.161087212,AllanAdams_2014,M
AllanAdams,277.460979,5.748181818,181.193847,48.9205011,9.212779572,0.028580033,0.000163998,0.01181495,0.013991218,0.035444851,0.124596604,1.186828486,0.053695737,0.07480561,0.123062909,0.161087212,AllanAdams_2016,M
AllanJones,449.0590722,8.728350515,132.8964082,36.8432429,7.967328865,0.028893331,0.000219141,0.012483526,0.015229323,0.037450577,0.120825194,1.148667173,0.052696677,0.074492254,0.120947076,0.158090031,AllanJones_2011G,M
AllanSavory,609.4247959,6.183826531,124.9591258,40.84397499,11.72303129,0.025295126,0.000204493,0.008891993,0.010608707,0.026675978,0.10273145,1.009810562,0.041446336,0.056972243,0.100163415,0.124339008,AllanSavory_2013,M
AllisonHunt,131.8519444,5.583611111,208.1851792,52.5676733,10.30303942,0.026226985,0.000127402,0.011657036,0.013181766,0.034971107,0.107744966,1.056662146,0.047143944,0.062811226,0.096293151,0.141431833,AllisonHunt_2007,F
AlwarBalasubramaniam,512.3810909,5.356121212,173.8151652,31.25045553,12.97718212,0.024467716,0.000144701,0.009841635,0.01258055,0.029524904,0.112635815,1.09712989,0.045365446,0.065272748,0.110646825,0.136096339,AlwarBalasubramaniam_2009I,M
AlysonMcGregor,465.9371233,5.57390411,214.7596286,45.84792317,13.66826067,0.020578143,9.70E-05,0.008496831,0.009436188,0.025490492,0.087215548,0.893813139,0.036385213,0.05037133,0.083748393,0.10915564,AlysonMcGregor_2014X,F
AlyssaMonks,392.0327778,5.541349206,182.8827661,41.74861514,10.84244754,0.020920528,0.000115952,0.009091415,0.009713638,0.027274245,0.098620704,0.978716242,0.03966116,0.052199303,0.091018711,0.118983479,AlyssaMonks_2015X,F
AmandaBennett,459.2341892,5.264391892,218.4209445,48.14353544,13.17751038,0.021450965,9.95E-05,0.009808267,0.010879154,0.029424801,0.099919466,1.035929458,0.042261661,0.060481821,0.100117757,0.126784982,AmandaBennett_2013P,F
AmandaBurden,537.7651765,6.150117647,188.6244275,42.64323198,10.74671458,0.024775179,0.000132947,0.011347344,0.01170962,0.034042031,0.101187878,0.977804671,0.043609908,0.05625824,0.088625754,0.130829724,AmandaBurden_2014,F
AmandaPalmer,415.49536,5.59088,173.1040461,30.96284319,12.11033374,0.021217265,0.00012547,0.008150885,0.009697264,0.024452654,0.105990025,1.021096177,0.040135426,0.057125889,0.100343331,0.120406277,AmandaPalmer_2013,F
AmberCase,242.1150943,8.170943396,241.3291448,51.09467318,10.75680511,0.025227474,0.000105357,0.01161653,0.013489879,0.03484959,0.110663597,1.119045432,0.050894204,0.070080043,0.109966379,0.152682612,AmberCase_2010W,F
AmeenahGuribFakim,438.68656,6.01056,226.1915256,45.00662221,12.88833835,0.023044177,0.000103574,0.009675979,0.011349747,0.029027938,0.091036465,0.941132646,0.03723905,0.051792905,0.087678364,0.11171715,AmeenahGuribFakim_2014G,F
AmeeraHarouda,261.2357746,5.982394366,268.0307854,47.80735758,13.8949653,0.019358617,7.35E-05,0.008700519,0.010354711,0.026101558,0.085771973,0.929061044,0.035226778,0.049618602,0.082916693,0.105680333,AmeeraHarouda_2016,F
AmiKlin,590.8785427,5.561155779,155.3934506,43.46837843,7.868455682,0.027618601,0.000183155,0.010893763,0.01272394,0.03268129,0.129311518,1.200668218,0.056810849,0.076634598,0.125452996,0.170432548,AmiKlin_2011X,M
AmitSood,356.4922785,6.690632911,164.3795599,40.12205696,9.989146777,0.02448253,0.000153404,0.010229384,0.012329768,0.030688152,0.111488592,1.102765767,0.045368903,0.063249753,0.107571396,0.136106709,AmitSood_2011,M
AmitSood,356.4922785,6.690632911,164.3795599,40.12205696,9.989146777,0.02448253,0.000153404,0.010229384,0.012329768,0.030688152,0.111488592,1.102765767,0.045368903,0.063249753,0.107571396,0.136106709,AmitSood_2016,M
AmoryLovins,709.3296304,5.716304348,119.4125099,27.50828877,8.296282701,0.02637114,0.000223866,0.0094616,0.012047449,0.028384801,0.110022406,1.033420352,0.046404502,0.065769599,0.11026202,0.139213506,AmoryLovins_2005,M
AmoryLovins,709.3296304,5.716304348,119.4125099,27.50828877,8.296282701,0.02637114,0.000223866,0.0094616,0.012047449,0.028384801,0.110022406,1.033420352,0.046404502,0.065769599,0.11026202,0.139213506,AmoryLovins_2012S,M
AmosWinter,317.4466216,8.009324324,141.3205859,36.85875914,10.63066234,0.024179152,0.000172704,0.009373624,0.011493082,0.028120871,0.12606022,1.169289207,0.0566342,0.07704181,0.120065578,0.1699026,AmosWinter_2012X,M
AmyAdeleHasinoff,430.6768644,6.721101695,229.4648323,55.08097447,13.0652863,0.021803909,9.71E-05,0.009322532,0.010110512,0.027967596,0.088328753,0.908115376,0.036945938,0.049412551,0.079280607,0.110837813,AmyAdeleHasinoff_2016X,F
AmyCuddy,620.7107471,6.44045977,255.4102916,43.79571619,11.78066316,0.019007697,7.57E-05,0.008227543,0.009677612,0.024682628,0.113479541,1.099409766,0.045736443,0.064055087,0.112849622,0.137209328,AmyCuddy_2012G,F
AmyGreen,307.3173913,6.433043478,230.3507614,41.0008804,12.70001761,0.020042543,8.80E-05,0.008959561,0.009754,0.026878682,0.098212412,0.990784715,0.041127088,0.057100301,0.096793676,0.123381265,AmyGreen_2017S,F
AmyLockwood,122.8517073,5.408292683,231.2785159,48.75526891,12.90306154,0.020234109,9.00E-05,0.008071328,0.009039228,0.024213983,0.093957278,0.929992015,0.037634503,0.050719881,0.086638286,0.11290351,AmyLockwood_2011G,F
AmyPurdy,260.0713542,5.128854167,259.0319358,45.70746946,10.02366804,0.018920416,7.40E-05,0.00870358,0.009569311,0.02611074,0.109978715,1.105560205,0.048530651,0.066635059,0.108957026,0.145591953,AmyPurdy_2011X,F
AmySmith,431.5795763,6.669576271,274.226803,49.89894133,10.28302653,0.020661874,7.85E-05,0.009578443,0.01124657,0.028735329,0.109433607,1.106958613,0.047594882,0.068122277,0.11424971,0.142784645,AmySmith_2006,F
AmyTan,654.5507692,6.764556213,197.5267201,36.2924488,12.08734103,0.021603002,0.000110651,0.01001045,0.010911187,0.030031351,0.087574447,0.921368449,0.03777803,0.051878312,0.081748884,0.113334091,AmyTan_2008,F
AmyWebb,491.0665385,5.798076923,229.1744048,47.90247162,9.324764537,0.019409023,8.63E-05,0.007750188,0.009204016,0.023250563,0.113437574,1.074650547,0.049785852,0.067134504,0.110070182,0.149357556,AmyWebb_2013S,F
AnandAgarawala,152.0846154,5.637435897,126.0986787,20.50504726,9.415378931,0.023227187,0.000188271,0.008511796,0.010748823,0.025535387,0.103983963,0.994588955,0.041957255,0.059586563,0.099437866,0.125871765,AnandAgarawala_2007,M
AnandGiridharadas,572.0145333,5.111866667,141.8207051,30.69950551,9.732123884,0.023536405,0.000171146,0.009138163,0.011482218,0.02741449,0.111232317,1.099656363,0.047054767,0.065868711,0.109264706,0.141164302,AnandGiridharadas_2015,M
AnandGiridharadas,572.0145333,5.111866667,141.8207051,30.69950551,9.732123884,0.023536405,0.000171146,0.009138163,0.011482218,0.02741449,0.111232317,1.099656363,0.047054767,0.065868711,0.109264706,0.141164302,AnandGiridharadas_2016T,M
AnandVarma,187.4262745,5.825294118,160.376067,28.23620947,10.83012111,0.022436443,0.000140671,0.010237989,0.011915653,0.030713968,0.107874385,1.115092007,0.045669004,0.066230853,0.112961731,0.137007013,AnandVarma_2015,M
AnandaShankar,334.2886747,7.96313253,233.5910304,54.2477018,10.42208502,0.025873237,0.000117984,0.012355116,0.013879566,0.037065348,0.1141818,1.102322638,0.053569914,0.068587787,0.104897777,0.160709742,AnandaShankar_2009I,F
AnantAgarwal,460.7067857,5.863071429,153.8060486,46.98099646,9.038494447,0.02998735,0.000202253,0.010605381,0.013615013,0.031816143,0.123941022,1.122597441,0.049309352,0.070587574,0.12129998,0.147928055,AnantAgarwal_2013G,M
AnasAremeyawAnas,354.6392793,5.331261261,150.9026589,42.3013828,8.965003907,0.027695695,0.000189196,0.011223963,0.014043697,0.033671889,0.132937236,1.223125853,0.058740643,0.08097531,0.129649011,0.17622193,AnasAremeyawAnas_2013,M
AnastasiaTaylorLind,161.8073077,5.462692308,176.3792345,30.10318994,10.47210593,0.022743267,0.000129654,0.010005683,0.011119167,0.030017048,0.116227231,1.105802271,0.050020997,0.069204636,0.113194725,0.150062991,AnastasiaTaylorLind_2014U,F
