speaker,number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,pausepersecond,gender
AdamSadowsky,2459.0,122.0,4.0,4.0,607.5,688.3,0.9,150.28,56.36,135.2,68.0,410.0,117.0,164.0,0.177248293,M
AdamSavage,3397.5,184.5,4.0,4.5,740.9,861.3,0.85,166.185,45.1,157.1,66.5,415.5,134.5,190.0,0.21840497,M
AdamSpencer,3467.0,388.0,3.0,5.0,756.5,1037.0,0.7,172.14,45.86,167.1,78.0,415.0,137.0,202.0,0.37415622,M
AdamdelaZerda,2853.0,290.0,4.0,5.0,581.5,766.2,0.8,112.89,24.55,107.7,79.0,398.0,95.0,126.0,0.378491256,M
AditiGupta,2177.0,216.0,3.0,5.0,479.1,674.5,0.7,215.97,40.99,214.0,72.0,412.0,188.0,240.0,0.320237213,F
AditiShankardass,1402.0,133.0,3.0,4.0,333.4,433.9,0.8,222.15,38.32,217.4,76.0,398.0,199.0,241.0,0.30652224,F
AdoraSvitak,1828.0,85.0,4.0,4.0,435.0,489.7,0.9,259.17,52.88,252.0,77.0,424.0,223.0,292.0,0.173575659,F
AfraRaymond,4393.0,373.0,4.0,6.0,783.4,1086.6,0.7,112.25,28.27,105.2,71.0,400.0,93.0,122.0,0.343272593,M
AimeeMullins,3293.5,299.0,3.5,5.0,705.45,921.0,0.7,214.78,48.29,206.3,71.5,422.5,186.5,236.5,0.381282922,F
AjitNarayanan,3390.0,493.0,4.0,6.0,588.6,943.3,0.6,201.4,62.44,189.7,71.0,424.0,152.0,239.0,0.522633309,M
AlGore,4416.333333,392.3333333,3.333333333,4.0,1090.133333,1388.033333,0.766666667,152.0766667,42.12,144.4666667,70.33333333,415.0,123.6666667,172.0,0.279155929,M
AlSeckel,2447.0,200.0,3.0,4.0,595.4,873.0,0.7,155.08,45.91,143.4,75.0,399.0,123.0,176.0,0.229095074,M
AlVernacchio,1515.0,248.0,3.0,5.0,318.5,501.3,0.6,176.83,51.25,169.2,70.0,387.0,138.0,209.0,0.494713744,M
AlaaMurabit,2355.0,248.0,3.0,5.0,487.8,737.0,0.7,222.27,54.67,212.4,71.0,423.0,184.0,255.0,0.336499322,F
AlaindeBotton,4373.5,286.0,4.0,4.5,942.9,1084.3,0.85,146.775,42.01,136.7,74.5,398.0,116.5,168.0,0.261102584,M
AlanEustace,2560.0,248.0,3.0,4.0,602.9,872.8,0.7,158.07,35.19,153.3,72.0,400.0,135.0,176.0,0.284142988,M
AlanKay,3847.0,368.0,3.0,4.0,865.5,1231.6,0.7,159.66,36.78,151.8,70.0,419.0,139.0,169.0,0.298798311,M
AlanRussell,4553.0,268.0,4.0,5.0,1002.6,1165.6,0.9,126.78,31.59,120.9,72.0,400.0,105.0,142.0,0.229924502,M
AlanSiegel,956.0,79.0,4.0,4.0,220.8,263.2,0.8,115.31,20.08,112.5,78.0,397.0,104.0,123.0,0.300151976,M
AlanSmith,2850.0,304.0,4.0,5.0,566.4,773.9,0.7,148.17,36.88,141.3,79.0,419.0,125.0,164.0,0.392815609,M
AlannaShaikh,1202.0,127.0,3.0,4.0,267.9,383.7,0.7,175.9,39.17,168.6,70.0,400.0,151.0,192.0,0.330987751,F
AlastairParvin,2474.0,350.0,3.0,5.0,523.3,791.5,0.7,136.58,34.37,129.9,71.0,387.0,113.0,153.0,0.442198358,M
AlbertoCairo,3529.0,415.0,3.0,5.0,770.9,1139.2,0.7,171.18,37.79,165.9,65.0,413.0,145.0,193.0,0.36429073,M
AlecSoth,1994.0,210.0,3.0,5.0,428.8,622.6,0.7,169.48,55.83,172.3,70.0,411.0,119.0,206.0,0.337295214,M
AlejandroAlvarado,2663.0,304.0,3.0,5.0,560.2,763.6,0.7,194.31,43.92,190.9,69.0,389.0,163.0,222.0,0.398114196,M
AlejandroAravena,3016.0,274.0,3.0,4.0,711.1,953.2,0.7,188.2,47.56,186.7,72.0,404.0,156.0,217.0,0.287452791,M
AlessandraOrofino,2979.0,274.0,3.0,4.0,736.3,919.9,0.8,281.04,53.2,280.9,77.0,425.0,242.0,319.0,0.297858463,F
AlessandroAcquisti,2985.0,331.0,3.0,4.0,672.0,900.3,0.7,135.53,34.18,129.3,69.0,400.0,111.0,153.0,0.367655226,M
AlexKipman,3383.0,503.0,3.0,5.0,739.5,1149.8,0.6,161.39,51.95,146.4,68.0,420.0,124.0,189.0,0.437467386,M
AlexLaskey,1721.0,150.0,4.0,5.0,355.8,491.3,0.7,155.01,36.06,150.6,71.0,397.0,132.0,173.0,0.305312436,M
AlexSteffen,3392.5,198.0,4.0,4.5,725.55,828.9,0.85,138.685,37.0,131.35,75.0,387.0,113.5,155.0,0.219790725,M
AlexTabarrok,3048.0,286.0,3.0,5.0,676.1,873.4,0.8,161.38,36.45,157.0,72.0,408.0,135.0,184.0,0.327455919,M
AlexWissnerGross,2443.0,317.0,3.0,5.0,517.9,708.8,0.7,136.65,35.77,129.1,72.0,391.0,110.0,157.0,0.447234763,M
AlexaMeade,1387.0,163.0,3.0,5.0,289.8,424.0,0.7,212.9,47.81,208.8,69.0,398.0,187.0,239.0,0.384433962,F
AlexanderBetts,3640.5,447.5,3.5,5.0,782.65,1070.1,0.75,158.625,41.57,155.1,72.0,415.5,129.0,183.5,0.417144812,M
AlexanderTsiaras,1954.0,122.0,3.0,4.0,516.3,577.1,0.9,127.4,47.82,115.9,71.0,388.0,99.0,135.0,0.211401837,M
AlexisOhanian,1041.0,80.0,4.0,5.0,220.0,263.6,0.8,133.82,38.48,122.8,74.0,421.0,107.0,151.0,0.303490137,M
AliCarrChellman,2595.0,231.0,3.0,4.0,597.9,747.0,0.8,250.08,52.93,247.2,71.0,423.0,215.0,283.0,0.309236948,F
AliceBowsLarkin,3123.0,279.0,4.0,5.0,670.7,867.9,0.8,256.04,54.32,256.9,70.0,423.0,225.0,290.0,0.321465607,F
AliceDreger,4885.0,240.0,4.0,5.0,996.6,1125.0,0.9,247.02,56.44,236.8,69.0,424.0,208.0,281.0,0.213333333,F
AliceGoffman,3448.0,329.0,4.0,5.0,725.3,968.6,0.7,237.43,45.51,232.5,72.0,423.0,210.0,262.0,0.339665497,F
AliceRawsthorn,2687.0,172.0,4.0,4.0,616.5,708.4,0.9,200.18,46.85,193.0,79.0,419.0,163.0,225.0,0.242800678,F
AliciaGarzaandPatrisseCullorsandOpalTometi,3426.0,321.0,4.0,4.0,766.7,969.5,0.8,191.91,43.09,187.8,70.0,423.0,165.0,214.0,0.331098504,F
AlisaMiller,779.0,64.0,3.0,4.0,205.0,263.1,0.8,254.15,52.31,248.5,79.0,423.0,218.0,287.0,0.243253516,F
AlisonGopnik,4400.0,337.0,4.0,5.0,909.2,1106.0,0.8,246.92,59.57,238.1,71.0,423.0,204.0,286.0,0.304701627,F
AlisonJackson,4239.0,90.0,4.0,4.0,1007.4,1056.6,1.0,175.16,38.22,169.0,68.0,424.0,153.0,189.0,0.085178876,F
AlisonKilling,1589.0,126.0,4.0,5.0,319.15,408.55,0.8,233.155,46.305,227.0,76.5,411.5,201.0,259.5,0.303028651,F
AlixGenerous,1965.0,197.0,3.0,4.0,453.3,631.0,0.7,198.27,48.91,204.6,71.0,414.0,191.0,222.0,0.312202853,F
AllanAdams,1489.0,202.0,3.0,5.0,305.35,472.65,0.65,182.59,52.305,178.35,75.0,408.5,144.5,213.5,0.44479941,M
AllanJones,3733.0,173.0,4.0,5.0,818.4,918.2,0.9,130.04,32.54,122.1,71.0,400.0,113.0,139.0,0.188412111,M
AllanSavory,3907.0,504.0,3.0,4.0,968.4,1336.5,0.7,122.69,35.69,113.5,71.0,405.0,101.0,135.0,0.377104377,M
AllisonHunt,1023.0,88.0,4.0,5.0,222.3,288.7,0.8,208.42,56.34,197.8,71.0,424.0,169.0,237.0,0.304814687,F
AlwarBalasubramaniam,3113.0,387.0,3.0,5.0,621.9,1007.8,0.6,178.11,39.93,169.6,79.0,397.0,150.0,198.0,0.384004763,M
AlysonMcGregor,2578.0,269.0,3.0,4.0,607.4,933.6,0.7,213.83,47.28,209.5,73.0,415.0,183.0,239.0,0.288131962,F
AlyssaMonks,2423.0,274.0,3.0,5.0,507.1,792.7,0.6,183.7,39.41,183.5,70.0,410.0,167.0,203.0,0.345654094,F
AmandaBennett,2464.0,421.0,3.0,5.0,524.4,924.5,0.6,214.99,50.7,204.1,74.0,421.0,179.0,243.0,0.455381287,F
AmandaBurden,3593.0,352.0,3.0,4.0,857.6,1108.3,0.8,185.5,40.73,179.8,67.0,421.0,162.0,205.0,0.317603537,F
AmandaPalmer,2186.0,385.0,3.0,5.0,474.9,824.2,0.6,176.74,39.97,166.8,80.0,421.0,150.0,192.0,0.467119631,F
AmberCase,2125.0,74.0,5.0,5.0,425.0,469.8,0.9,236.11,50.17,227.3,76.0,423.0,202.0,265.0,0.157513836,F
AmeenahGuribFakim,2790.0,373.0,3.0,5.0,605.3,856.3,0.7,222.45,46.03,216.4,70.0,423.0,191.0,249.0,0.435595002,F
AmeeraHarouda,1499.0,171.0,3.0,4.0,360.0,522.9,0.7,262.86,52.16,263.3,72.0,424.0,226.0,299.0,0.327022375,F
AmiKlin,3397.0,591.0,3.0,5.0,720.8,1181.7,0.6,157.96,44.45,149.4,78.0,404.0,126.0,183.0,0.500126936,M
AmitSood,2306.0,187.0,4.0,4.0,519.45,618.5,0.8,153.12,36.685,145.35,74.0,405.0,128.5,169.0,0.292354521,M
AmoryLovins,5365.0,274.0,4.0,4.0,1221.3,1399.75,0.9,119.005,26.575,112.95,71.0,395.5,101.0,130.0,0.179449478,M
AmosWinter,2454.0,263.0,4.0,5.0,525.0,674.4,0.8,144.86,36.45,137.4,72.0,404.0,119.0,162.0,0.389976275,M
AmyAdeleHasinoff,2861.0,292.0,3.0,4.0,671.4,869.1,0.8,228.58,56.15,224.8,71.0,423.0,192.0,264.0,0.335979749,F
AmyCuddy,4383.0,662.0,3.0,5.0,863.3,1259.6,0.7,251.99,45.2,246.4,74.0,423.0,221.0,279.0,0.525563671,F
AmyGreen,2078.0,256.0,3.0,5.0,452.0,638.7,0.7,227.21,50.27,228.8,73.0,409.0,203.0,257.0,0.400814154,F
AmyLockwood,840.0,92.0,3.0,5.0,174.7,253.4,0.7,226.78,53.59,224.8,73.0,420.0,192.0,260.0,0.363062352,F
AmyPurdy,1555.0,264.0,3.0,4.0,347.5,588.9,0.6,256.74,48.86,254.2,71.0,424.0,227.0,285.0,0.448293428,F
AmySmith,3221.0,262.0,4.0,4.0,736.4,900.1,0.8,274.14,51.73,272.5,79.0,423.0,239.0,308.0,0.291078769,F
AmyTan,5117.0,338.0,4.0,4.0,1180.4,1365.9,0.9,198.7,36.4,193.6,65.0,400.0,179.0,215.0,0.24745589,F
AmyWebb,3906.0,387.0,4.0,5.0,802.1,1047.4,0.8,225.19,48.11,216.9,71.0,424.0,194.0,249.0,0.369486347,F
AnandAgarawala,1082.0,57.0,4.0,4.0,242.0,279.5,0.9,130.4,29.81,124.6,80.0,387.0,111.0,142.0,0.203935599,M
AnandGiridharadas,2557.5,505.5,2.0,4.5,574.9,1108.45,0.5,141.755,33.97,138.35,74.5,397.0,119.5,158.0,0.45471339,M
AnandVarma,1035.0,130.0,3.0,4.0,235.3,370.2,0.6,160.49,36.83,158.0,69.0,410.0,140.0,178.0,0.351161534,M
AnandaShankar,3707.0,193.0,4.0,5.0,786.3,963.8,0.8,201.58,67.16,196.7,60.0,423.0,135.0,261.0,0.200249014,F
AnantAgarwal,3481.0,289.0,4.0,5.0,667.5,919.3,0.7,154.25,49.36,143.6,79.0,398.0,117.0,181.0,0.314369629,M
AnasAremeyawAnas,2262.0,348.0,3.0,5.0,478.3,766.8,0.6,150.45,49.08,137.3,73.0,415.0,118.0,166.0,0.453834116,M
AnastasiaTaylorLind,1188.0,124.0,3.0,5.0,254.9,369.8,0.7,176.91,30.34,173.6,71.0,389.0,158.0,191.0,0.335316387,F
AndersFjellberg,2896.0,321.0,3.0,5.0,588.4,885.2,0.7,134.94,30.49,126.9,72.0,391.0,114.0,149.0,0.362629914,M
AndersYnnerman,3932.0,317.0,4.0,5.0,790.3,993.3,0.8,125.44,25.32,118.0,72.0,395.0,110.0,135.0,0.319138226,M
AndrasForgacs,1638.0,210.0,3.0,4.0,365.1,542.5,0.7,140.03,35.72,134.1,79.0,400.0,115.0,159.0,0.387096774,M
AndreaGhez,4205.0,266.0,4.0,5.0,849.2,982.9,0.9,240.95,66.29,234.3,72.0,424.0,196.0,287.0,0.270627734,F
AndreasEkstrom,1905.0,205.0,3.0,5.0,387.1,562.7,0.7,141.11,40.22,132.2,71.0,387.0,112.0,159.0,0.36431491,M
AndreasRaptopoulos,2142.0,191.0,4.0,5.0,421.6,564.8,0.7,130.09,29.41,125.7,77.0,387.0,109.0,147.0,0.338172805,M
AndreasSchleicher,3454.0,501.0,3.0,5.0,710.4,1184.2,0.6,156.49,32.26,153.9,72.0,400.0,133.0,177.0,0.423070427,M
AndresLozano,3744.0,251.0,4.0,5.0,773.9,934.7,0.8,147.16,33.59,139.2,72.0,397.0,126.0,160.0,0.268535359,M
AndresRuzo,2687.0,335.0,3.0,4.0,621.2,953.9,0.7,169.3,45.08,163.2,70.0,419.0,138.0,194.0,0.351189852,M
AndrewBastawrous,1339.0,112.0,3.0,4.0,302.8,393.6,0.8,104.65,42.95,94.9,79.0,406.0,88.0,106.0,0.284552846,M
AndrewBird,3087.0,261.0,3.0,4.0,805.5,1156.8,0.7,160.86,77.3,127.6,65.0,424.0,99.0,219.0,0.225622407,M
AndrewBlum,2354.0,302.0,3.0,5.0,511.8,716.0,0.7,115.88,25.63,110.8,79.0,391.0,98.0,128.0,0.421787709,M
AndrewConnolly,3592.0,372.0,3.0,5.0,777.6,1064.0,0.7,162.6,44.7,154.7,74.0,416.0,131.0,188.0,0.34962406,M
AndrewFitzgerald,2436.0,266.0,3.0,4.0,571.2,715.8,0.8,123.79,39.01,113.4,78.0,410.0,98.0,137.0,0.371612182,M
AndrewMcAfee,3364.5,231.5,4.0,5.0,724.0,854.85,0.85,128.245,28.6,123.5,76.5,397.0,109.0,141.0,0.269593823,M
AndrewMwenda,3926.0,383.0,4.0,5.0,736.9,1027.9,0.7,238.0,55.98,232.9,78.0,423.0,197.0,275.0,0.372604339,M
AndrewPelling,1314.0,169.0,3.0,4.0,298.8,429.4,0.7,135.58,47.03,123.1,71.0,407.0,104.0,155.0,0.393572427,M
AndrewSolomon,4885.0,612.3333333,3.0,5.0,1058.9,1465.533333,0.7,141.4666667,24.79666667,139.0,70.33333333,399.0,126.3333333,153.0,0.418750477,M
AndrewYoun,3018.0,233.0,4.0,5.0,639.6,798.2,0.8,141.17,30.25,134.8,72.0,396.0,122.0,154.0,0.29190679,M
AndyHobsbawm,736.0,27.0,4.0,4.0,180.4,201.9,0.9,114.03,32.38,106.5,70.0,387.0,93.0,124.0,0.133729569,M
AndyPuddicombe,1655.0,284.0,3.0,4.0,368.2,561.1,0.7,160.47,38.71,153.8,74.0,387.0,134.0,179.0,0.506148637,M
AndyYen,2726.0,334.0,4.0,5.0,512.8,733.2,0.7,153.12,33.6,149.3,71.0,387.0,130.0,173.0,0.45553737,M
AngelaBelcher,2785.0,88.0,4.0,5.0,582.3,622.2,0.9,262.39,44.1,256.6,79.0,423.0,233.0,287.0,0.141433623,F
AngelaDuckworth,1187.0,144.0,3.0,5.0,263.2,372.9,0.7,252.43,64.33,249.1,79.0,425.0,208.0,295.0,0.38616251,F
AngelaPatton,1518.0,189.0,3.0,4.0,359.1,524.9,0.7,264.01,57.3,263.3,70.0,423.0,226.0,304.0,0.360068584,F
AngelicaDass,1877.0,282.0,3.0,4.0,461.5,691.2,0.7,208.02,47.65,201.9,70.0,424.0,176.0,234.0,0.407986111,F
AngeloVermeulen,1638.0,156.0,4.0,5.0,323.1,428.0,0.8,131.47,37.89,123.0,78.0,397.0,107.0,147.0,0.364485981,M
AniLiu,1792.0,123.0,4.0,5.0,371.5,444.1,0.8,199.96,51.56,198.0,68.0,423.0,180.0,224.0,0.276964648,F
AnilAnanthaswamy,3793.0,118.0,4.0,5.0,780.6,845.6,0.9,154.48,27.98,152.4,71.0,387.0,137.0,168.0,0.139545885,M
AnilGupta,5302.0,517.0,4.0,5.0,1002.5,1372.0,0.7,162.99,44.35,154.6,70.0,393.0,131.0,188.0,0.376822157,M
AnjaliTripathi,2748.0,281.0,4.0,5.0,554.1,719.2,0.8,232.45,52.52,225.4,72.0,422.0,198.0,261.0,0.390711902,F
AnnCooper,4764.0,318.0,4.0,5.0,1005.8,1174.5,0.9,287.14,50.14,286.3,77.0,424.0,255.0,321.0,0.270753512,F
AnnMarieThomas,891.0,68.0,4.0,5.0,185.3,245.6,0.8,264.71,62.28,263.5,80.0,422.0,216.0,312.0,0.276872964,F
AnnMorgan,2548.0,242.0,4.0,5.0,542.4,727.8,0.7,228.42,49.34,219.8,79.0,421.0,192.0,259.0,0.332508931,F
AnnaDeavereSmith,4529.0,409.0,3.0,4.0,1017.7,1385.1,0.7,236.52,69.22,227.8,65.0,424.0,180.0,285.0,0.295285539,F
AnnaMracekDietrich,2440.0,117.0,4.0,5.0,495.2,575.3,0.9,207.59,47.34,206.2,70.0,419.0,184.0,232.0,0.203372154,F
AnneCurzan,3211.0,431.0,3.0,5.0,682.0,1033.5,0.7,244.41,58.76,235.2,70.0,424.0,202.0,283.0,0.417029511,F
AnneLamott,2877.0,282.0,3.0,4.0,721.4,958.3,0.8,215.22,37.21,212.4,71.0,404.0,190.0,236.0,0.294271105,F
AnneMarieSlaughter,3129.0,393.0,3.0,4.0,726.8,1031.5,0.7,219.12,46.91,215.0,74.0,420.0,186.0,248.0,0.380998546,F
AnneMilgram,3107.0,273.0,4.0,5.0,571.6,761.7,0.8,185.56,32.43,180.0,71.0,393.0,164.0,203.0,0.358408822,F
AnnetteHeuser,2196.0,179.0,4.0,5.0,452.4,589.8,0.8,224.94,46.91,223.3,72.0,416.0,194.0,255.0,0.303492709,F
AnnieLennox,2038.0,198.0,4.0,5.0,427.2,552.9,0.8,208.18,34.04,205.0,65.0,415.0,186.0,226.0,0.358111774,F
AnnieMurphyPaul,3569.0,307.0,4.0,5.0,784.3,1003.1,0.8,177.7,29.01,174.0,71.0,416.0,158.0,193.0,0.306051241,F
AnoteTong,4582.0,555.0,4.0,5.0,947.7,1279.2,0.7,122.54,33.19,115.6,71.0,421.0,101.0,135.0,0.433864916,M
AnthonyAtala,3611.5,275.5,3.5,4.0,853.65,1040.0,0.8,142.54,31.895,137.15,73.5,401.0,121.0,158.0,0.26485453,M
AnthonyDRomero,2078.0,283.0,3.0,4.0,492.1,772.1,0.6,121.7,35.1,114.3,74.0,408.0,100.0,134.0,0.366532833,M
AnthonyGoldbloom,1030.0,108.0,4.0,5.0,205.5,280.5,0.7,126.75,33.6,119.1,79.0,394.0,103.0,140.0,0.385026738,M
AntonioDamasio,4541.0,265.0,4.0,5.0,996.8,1119.5,0.9,136.25,30.39,130.9,71.0,387.0,115.0,152.0,0.236712818,M
AntonioGuterres,4884.0,417.0,4.0,5.0,978.2,1198.0,0.8,158.79,43.54,150.7,62.0,415.0,128.0,182.0,0.348080134,M
AntonyGormley,2498.0,429.0,3.0,4.0,572.3,952.9,0.6,111.21,37.38,101.3,70.0,399.0,90.0,121.0,0.450204638,M
AnupamMishra,3104.0,471.0,3.0,4.0,764.0,1031.5,0.7,149.18,34.94,140.8,70.0,399.0,126.0,165.0,0.456616578,M
AomawaShields,1072.0,94.0,3.0,4.0,249.2,329.5,0.8,186.56,43.69,176.4,70.0,402.0,157.0,209.0,0.285280728,F
AparnaRao,2058.0,117.0,4.0,5.0,420.2,501.55,0.85,194.58,35.485,187.9,73.5,410.5,171.0,210.5,0.233423085,F
ApolloRobbins,1872.0,158.0,4.0,5.0,394.6,527.3,0.7,169.66,40.67,166.0,71.0,389.0,141.0,195.0,0.299639674,M
AriWallach,2860.0,285.0,3.0,5.0,580.8,826.8,0.7,177.05,44.79,167.6,69.0,419.0,143.0,201.0,0.344702467,M
AriannaHuffington,794.0,58.0,3.0,4.0,197.6,247.6,0.8,262.7,59.47,261.2,73.0,424.0,225.0,303.0,0.234248788,F
ArielGarten,3258.0,300.0,4.0,5.0,641.1,900.7,0.7,263.99,46.38,261.0,79.0,423.0,234.0,292.0,0.333074276,F
ArisVenetikidis,3611.0,317.0,4.0,5.0,759.6,992.7,0.8,152.7,39.59,145.8,73.0,400.0,124.0,176.0,0.319331117,M
ArthurBenjamin,1680.0,154.3333333,3.333333333,4.333333333,388.4333333,492.6666667,0.8,193.6666667,50.65666667,187.0666667,75.33333333,416.6666667,159.3333333,222.6666667,0.341190896,M
ArthurBrooks,2993.0,341.0,3.0,5.0,618.2,858.6,0.7,169.52,48.23,161.4,69.0,417.0,135.0,198.0,0.397158164,M
ArthurGanson,3256.0,191.0,3.0,4.0,800.5,938.1,0.9,143.84,40.7,135.9,75.0,400.0,117.0,158.0,0.203603027,M
ArthurPottsDawson,2023.0,218.0,4.0,5.0,409.2,525.9,0.8,112.86,24.36,106.8,78.0,395.0,97.0,122.0,0.414527477,M
ArunachalamMuruganantham,2042.0,190.0,4.0,5.0,423.2,557.8,0.8,199.09,53.92,191.0,72.0,420.0,165.0,224.0,0.34062388,M
ArvindGupta,3152.0,326.0,3.0,4.0,700.6,927.2,0.8,230.01,59.36,218.0,77.0,421.0,183.0,270.0,0.351596204,M
AshBeckham,2007.5,383.0,3.0,5.0,423.55,751.05,0.6,166.42,43.225,157.35,77.0,417.5,136.5,187.5,0.500412008,F
AshadeVos,1069.0,125.0,3.0,4.0,250.6,349.1,0.7,223.29,55.71,216.6,74.0,422.0,184.0,258.0,0.358063592,F
AsherHasan,691.0,144.0,3.0,4.0,167.8,265.3,0.6,152.1,33.53,145.6,79.0,387.0,131.0,163.0,0.542781757,M
AshleyJudd,3057.0,293.0,3.0,4.0,707.5,974.8,0.7,229.48,59.49,221.4,73.0,424.0,185.0,266.0,0.300574477,F
AshrafGhani,3427.0,417.0,3.0,5.0,720.8,1119.3,0.6,189.75,58.26,188.1,71.0,421.0,147.0,226.0,0.372554275,M
AshtonCofer,1320.0,152.0,4.0,5.0,272.2,365.6,0.7,174.64,35.8,172.5,71.0,400.0,152.0,193.0,0.415754923,M
AspenBaker,2124.0,200.0,3.0,5.0,462.7,662.6,0.7,184.86,48.63,176.6,70.0,419.0,155.0,208.0,0.301841232,F
AstroTeller,2784.0,336.0,3.0,4.0,649.2,936.8,0.7,139.12,37.51,133.8,71.0,401.0,113.0,158.0,0.358667805,M
AtulGawande,3810.0,401.0,3.0,5.0,845.5,1156.0,0.7,133.06,28.26,129.0,72.0,403.0,113.0,148.0,0.346885813,M
AubreydeGrey,5450.0,483.0,4.0,5.0,1108.8,1368.6,0.8,148.89,47.78,135.7,70.0,415.0,116.0,168.0,0.352915388,M
AudreyChoi,2793.0,283.0,4.0,5.0,536.7,758.5,0.7,201.39,54.03,190.4,70.0,421.0,165.0,233.0,0.373104812,F
AukeIjspeert,3411.0,268.0,4.0,5.0,654.4,854.2,0.8,164.85,44.02,157.6,71.0,408.0,136.0,183.0,0.313743854,M
