filename,duration,meanF0,stdevF0,hnr,localJitter,localabsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer
AbrahamVerghese_2011G,1029.47,140.4418043,26.25143889,9.062115369,0.022341016,0.000160458,0.008709993,0.010858012,0.02612998,0.114985227,1.10044816,0.047828141,0.067913287,0.116657371,0.143484424
AchenyoIdachaba_2015W,361.43,192.9542617,52.50359883,10.44919135,0.024458804,0.000127683,0.0108586,0.012245266,0.0325758,0.110046717,1.10370493,0.048491876,0.066555025,0.106315611,0.145475627
AdamDavidson_2012S,1073.33,156.4571891,40.7387166,9.119808257,0.023977886,0.000155156,0.009524387,0.011139408,0.028573161,0.125820976,1.172910332,0.057163447,0.076333761,0.120750464,0.17149034
AdamDriver_2015P,869.05,159.9751432,31.38307788,10.27942052,0.026051889,0.000168138,0.010728375,0.013020185,0.032185126,0.117937147,1.149977194,0.048459366,0.069848438,0.121715692,0.145378097
AdamFoss_2016,827.68,136.1539982,33.58931166,8.028544956,0.02374125,0.000177184,0.009511262,0.012108432,0.028533786,0.114831194,1.114107527,0.04860216,0.068546963,0.114382111,0.14580648
AdamGalinsky_2016X,823.97,218.3038188,50.57258736,12.31033584,0.021978294,0.000102582,0.008750445,0.009780237,0.026251334,0.099754107,0.976962941,0.041061056,0.055822407,0.092852177,0.123183168
AdamGarone_2011X,833.02,136.1040246,26.61635283,9.220504983,0.02262558,0.000168,0.008090969,0.010502947,0.024272908,0.130156617,1.200100759,0.055668309,0.078792191,0.135858353,0.167004928
AdamGrant_2016,829.99,226.2257305,54.65802344,9.313718906,0.02454822,0.000109916,0.010699853,0.012327629,0.032099558,0.123788007,1.199739855,0.052787666,0.074501721,0.123693788,0.158362999
AdamGrant_2016S,705.44,183.1686826,54.42721207,11.19830406,0.025731426,0.000142731,0.009830821,0.011744982,0.029492463,0.111609585,1.054632491,0.045654922,0.064087499,0.109710366,0.136964766
AdamGrosser_2007,144.28,123.6045564,30.3560487,8.784578367,0.0276737,0.000226701,0.011762011,0.014067234,0.035286034,0.120621827,1.132594691,0.051384808,0.073433178,0.11729944,0.154154425
AdamOckelford_2013X,528.58,124.7180995,35.99599974,7.248351744,0.027402444,0.000228184,0.012552127,0.01432761,0.03765638,0.147841401,1.350372922,0.067943079,0.09342562,0.150513417,0.203829236
AdamOstrow_2011G,276.9,145.5263532,29.62659202,10.67396615,0.022525252,0.000155366,0.008824897,0.010518447,0.026474692,0.112401318,1.051697952,0.045169912,0.064434497,0.111427824,0.135509736
AdamSadowsky_2010X,344.78,140.3416344,38.42247295,7.278648457,0.02595779,0.000187554,0.011046458,0.014112694,0.033139374,0.121550214,1.149741823,0.056197175,0.074945051,0.114328748,0.168591525
AdamSavage_2008P,799.5,170.8271042,38.72432724,10.64546715,0.027823717,0.000165365,0.011676358,0.014455556,0.035029075,0.115225416,1.116320433,0.04967682,0.070757807,0.115870852,0.149030459
AdamSavage_2016,707,158.1943291,39.67641476,10.60664884,0.028880976,0.000186487,0.011495451,0.014247234,0.034486352,0.11435155,1.098228576,0.048775175,0.067777714,0.107960536,0.146325525
AdamSpencer_2013,847.78,170.5205027,38.46623551,11.16967671,0.021224078,0.000127886,0.007789087,0.009404611,0.023367262,0.100963223,0.995622713,0.037534137,0.05448735,0.100014997,0.11260241
AdamdelaZerda_2016X,727.01,111.9832185,23.59039618,8.801776939,0.031647419,0.000285562,0.012128548,0.014293698,0.036385645,0.13295616,1.236229293,0.051634259,0.077400165,0.138310693,0.154902777
AditiGupta_2015X,573.13,216.5525556,39.39311526,12.88905,0.020956507,9.84E-05,0.009547876,0.011389437,0.028643629,0.107622701,1.089265783,0.044427471,0.062433366,0.107903902,0.133282414
AditiShankardass_2009I,401.32,219.1565491,36.47840079,9.126842562,0.016360135,7.52E-05,0.007242652,0.007803466,0.021727957,0.107678085,1.057787826,0.047618282,0.061765433,0.096570518,0.142854846
AdoraSvitak_2010,427.24,268.1518942,56.62677655,11.89843647,0.016370232,6.18E-05,0.006748309,0.007602555,0.020244927,0.087527555,0.872401072,0.037618823,0.050523928,0.082484667,0.11285647
AfraRaymond_2012X,971.41,110.9782417,23.13361624,8.755093077,0.035272048,0.000326525,0.014292747,0.018067773,0.042878241,0.151090092,1.321027441,0.057940447,0.0822659,0.134421898,0.17382134
AimeeMullins_1998,800.9,210.4005662,39.42557518,9.395062331,0.019588318,9.41E-05,0.009345517,0.00994262,0.02803655,0.12447832,1.19397652,0.0583137,0.078279766,0.117478926,0.174941099
AimeeMullins_2009U,414.3,214.5229288,43.3708741,12.23698965,0.019547063,9.20E-05,0.008207864,0.009422745,0.024623592,0.109344267,1.067658781,0.041456262,0.060039696,0.108797301,0.124368786
AjitNarayanan_2013,807.04,204.2171398,60.50524115,10.99103793,0.026385402,0.000132144,0.010441721,0.012732697,0.031325164,0.125434554,1.187070587,0.050601019,0.072406142,0.126911905,0.151803057
AlGore_2006,783.3,141.4145978,36.26255492,8.577269225,0.026925032,0.000197109,0.010958903,0.0129935,0.03287671,0.106531084,1.027394806,0.047419212,0.065004108,0.103694088,0.142257637
AlGore_2008,1315.12,147.5132907,35.0112364,9.336848239,0.026302465,0.000185212,0.010427102,0.012476031,0.031281306,0.106516806,1.035417521,0.046279431,0.063905753,0.105537631,0.138838294
AlGore_2016,1343.83,165.2024729,31.44174575,9.528961287,0.020091654,0.000124422,0.007889636,0.00941505,0.023668908,0.102617463,1.011212874,0.043132937,0.058665164,0.097225889,0.12939881
AlSeckel_2004,473.63,156.6953021,36.52346841,10.60971703,0.025901346,0.000172111,0.010475405,0.012552239,0.031426215,0.10592406,1.03967397,0.045152943,0.065025152,0.109220564,0.135458828
AlVernacchio_2012,467.89,174.2839892,45.58248816,11.77923172,0.02379972,0.000140299,0.008894135,0.010423453,0.026682405,0.115113177,1.079212015,0.047390129,0.065934226,0.108910006,0.142170386
AlaaMurabit_2015W,639.22,225.451143,51.28828821,10.54854982,0.021906337,9.92E-05,0.009541131,0.010660353,0.028623392,0.093771395,0.960568619,0.040426826,0.055798711,0.088873936,0.121280478
AlaindeBotton_2009G,876.43,157.404563,43.14401169,9.09458941,0.030059659,0.000193387,0.011229653,0.013461044,0.033688959,0.117067021,1.105162412,0.049325239,0.067997747,0.109724216,0.147975717
AlaindeBotton_2011G,1030.12,135.6249197,39.80889098,7.698013678,0.029618802,0.000220479,0.012050703,0.014639839,0.036152108,0.133786647,1.242827183,0.059234712,0.082928558,0.131967001,0.177704136
AlanEustace_2015,673.91,158.1462476,29.68748597,10.33386243,0.022074491,0.000141789,0.009404473,0.011327226,0.028213419,0.102114993,1.029383191,0.045004455,0.062003846,0.09838941,0.135013366
AlanKay_2007,973.98,154.6472032,24.42077338,9.811976224,0.020978539,0.00013692,0.009180749,0.011123548,0.027542248,0.114028869,1.096344123,0.050982843,0.072217027,0.113465056,0.15294853
AlanRussell_2006,1020.26,126.488102,28.55065969,9.339049123,0.025865042,0.000207545,0.010652419,0.013222891,0.031957258,0.116082259,1.102759115,0.051141001,0.071494617,0.114588569,0.153423003
AlanSiegel_2010,219.7,115.5563841,16.9391605,11.71051306,0.026276239,0.000229532,0.010712049,0.014056098,0.032136147,0.097026571,0.984608939,0.040960378,0.058589705,0.099078938,0.122881134
AlanSmith_2016X,716.03,149.3758029,37.54619617,10.22115995,0.026999281,0.000183179,0.010621404,0.012989641,0.031864213,0.119291981,1.147941978,0.048013519,0.069807817,0.118774252,0.144040558
AlannaShaikh_2012G,323.02,175.7693339,36.02784429,9.952160767,0.025276114,0.000145787,0.010719078,0.012249007,0.032157235,0.091986116,0.920767594,0.038663734,0.052663531,0.084689861,0.115991201
AlastairParvin_2013,680.63,135.7432214,32.42700815,9.83292269,0.024672609,0.000184566,0.008623653,0.010983676,0.025870958,0.11503006,1.086269349,0.044753694,0.06365616,0.115735811,0.134261082
AlbertoCairo_2011X,868.87,171.1571853,34.10905595,10.20674686,0.028019829,0.000167196,0.012429184,0.013612509,0.037287551,0.098181556,0.986881185,0.041133044,0.055328006,0.091650206,0.123399131
AlecSoth_2015,523.33,169.4900274,39.76873384,10.03160819,0.024902169,0.000156121,0.011222232,0.013018889,0.033666695,0.115858882,1.156833631,0.05050043,0.070380142,0.114336952,0.151501291
AlejandroAlvarado_2016X,710.97,194.2161029,40.80888495,12.73705519,0.022786251,0.000118566,0.009149031,0.010481118,0.027447094,0.095760515,0.979930523,0.037706701,0.052207021,0.089623758,0.113120103
AlejandroAravena_2014G,800.62,186.0597773,42.27570401,11.03936106,0.027701246,0.000151072,0.011898563,0.014377828,0.035695688,0.090458833,0.968612129,0.040900078,0.056523918,0.087394553,0.122700235
AlessandraOrofino_2014G,828.73,291.973199,55.63680576,15.8554117,0.017860733,6.19E-05,0.008035112,0.009113371,0.024105335,0.071290819,0.773893763,0.030348297,0.041188957,0.066456084,0.091044891
AlessandroAcquisti_2013G,806.72,136.0547116,34.97370001,10.22942326,0.027290672,0.000202718,0.008728299,0.01146441,0.026184898,0.10761607,1.010667936,0.043045222,0.060363357,0.103348702,0.129135665
AlexKipman_2016,961.02,162.1911153,47.77067405,8.136484404,0.027435647,0.000172861,0.011817157,0.014083982,0.035451471,0.119579001,1.174481139,0.053144123,0.07317729,0.119474915,0.159432368
AlexLaskey_2013,443.71,154.9436462,35.47378859,9.29377416,0.021501572,0.000139976,0.008482353,0.010513938,0.025447058,0.109364415,1.052719571,0.044544112,0.064017269,0.113402827,0.133632336
AlexSteffen_2005G,961.27,127.3026005,27.77376872,9.119592673,0.02602311,0.000206723,0.009132401,0.012357818,0.027397203,0.120601459,1.129900665,0.048836118,0.069569217,0.116110433,0.146508353
AlexSteffen_2011G,556.54,148.328601,41.60972295,10.80310755,0.02796564,0.000190488,0.009201578,0.012393779,0.027604733,0.098859745,0.952031196,0.040910296,0.056542532,0.092228197,0.122730889
AlexTabarrok_2009,754.82,162.3891654,34.13326563,12.55698132,0.022724631,0.000142001,0.009541673,0.011619636,0.028625019,0.094142011,0.94929176,0.03957911,0.056793397,0.094748666,0.11873733
AlexWissnerGross_2013X,632.9,135.6469052,33.76382819,9.134840097,0.028336821,0.000212925,0.009868959,0.012810371,0.029606876,0.121359973,1.118906281,0.050502609,0.069486739,0.114681377,0.151507828
AlexaMeade_2013G,379.44,212.3482187,45.83937882,12.03412476,0.019988242,9.50E-05,0.008623294,0.009049994,0.025869881,0.107675167,1.018883917,0.044297356,0.059719657,0.098616523,0.132892068
AlexanderBetts_2016,1039.02,166.6078532,45.01987366,9.070050433,0.026019696,0.000157822,0.010017206,0.012082316,0.030051619,0.12085966,1.157755404,0.050266362,0.071545733,0.119323025,0.150799086
AlexanderBetts_2016T,911.81,154.3452189,42.63928289,9.26876321,0.027038116,0.00017686,0.010560358,0.013180364,0.031681074,0.117465145,1.125855255,0.048512104,0.069531861,0.114986484,0.145536312
AlexanderTsiaras_2010P,516.83,124.0261309,42.26323822,6.654881086,0.027035997,0.000219916,0.012942743,0.015936563,0.03882823,0.152672057,1.374523394,0.072079543,0.093368003,0.139769693,0.216238628
AlexisOhanian_2009I,217.3,129.3247159,28.6820002,7.401832424,0.025155112,0.000195492,0.009551218,0.011955487,0.028653655,0.14193641,1.30599706,0.058363547,0.082876133,0.145326017,0.17509064
AliCarrChellman_2010X,713.29,253.1218779,51.49275695,14.6200002,0.01998643,8.03E-05,0.008466496,0.009025623,0.025399488,0.077120832,0.764875437,0.033686903,0.043548203,0.066334046,0.101060708
AliceBowsLarkin_2015G,805.08,258.7487551,50.04337032,12.90988567,0.021235842,8.35E-05,0.008878545,0.010410491,0.026635636,0.087849023,0.914900759,0.036406573,0.051156447,0.084215036,0.109219719
AliceDreger_2011X,1059.2,253.8372601,61.11551914,11.91820557,0.024735063,9.83E-05,0.011395292,0.013492632,0.034185877,0.124299601,1.192650355,0.055942126,0.080379775,0.125707318,0.167826378
AliceGoffman_2015,862.54,240.4190649,43.67204641,12.0114402,0.022757335,9.54E-05,0.009739728,0.01168653,0.029219185,0.105262114,1.043209067,0.043870849,0.061720185,0.101811019,0.131612546
AliceRawsthorn_2016,657.04,200.5127013,44.75843209,12.0669327,0.020362948,0.000102193,0.008561259,0.010347552,0.025683777,0.095673328,0.95999818,0.041398118,0.056737834,0.089027907,0.124194353
AliciaGarzaandPatrisseCullorsandOpalTometi_2016W,861.26,191.7169214,42.92948147,11.19583471,0.023792408,0.000127327,0.010238249,0.011586958,0.030714746,0.099309855,0.973792392,0.040556633,0.055355007,0.089919683,0.121669899
AlisaMiller_2008,179.9,262.7626433,54.24918459,12.2668031,0.017825357,6.89E-05,0.008025734,0.008900671,0.024077202,0.079908598,0.827132558,0.034922602,0.047190204,0.072755139,0.104767805
AlisonGopnik_2011G,909.85,255.5448457,68.82719105,10.4402584,0.025035333,9.90E-05,0.011294521,0.012654933,0.033883564,0.112185255,1.117990925,0.051115514,0.069981609,0.10789226,0.153346542
AlisonJackson_2005G,882.11,172.486839,34.1296447,9.297548795,0.027991173,0.000164897,0.013244204,0.015213536,0.039732612,0.106279807,1.075324255,0.04821749,0.068409887,0.10444518,0.144652469
AlisonKilling_2014U,256.56,230.1500602,41.9527421,11.14199366,0.022833714,0.000100112,0.009774979,0.011347134,0.029324937,0.101219187,1.007513379,0.040771934,0.057166356,0.094840959,0.122315803
AlisonKilling_2014X,486.12,243.0084595,53.22477768,10.67240441,0.0185964,7.71E-05,0.007482505,0.008686682,0.022447514,0.107520232,1.036800559,0.042497289,0.059892328,0.102283292,0.127491866
AlixGenerous_2015W,453.68,198.392729,46.30027618,11.60222673,0.022315695,0.00011377,0.010648315,0.011754544,0.031944946,0.098685892,1.027196642,0.042530687,0.058311943,0.096089612,0.127592061
AllanAdams_2014,256.11,196.0680295,49.27261678,11.50555921,0.025460801,0.000132386,0.009874974,0.011630168,0.029624923,0.120474744,1.134450988,0.048662087,0.068796981,0.117692083,0.145986261
AllanAdams_2016,565.88,173.5275448,50.80768667,8.48049827,0.029366596,0.000173946,0.012329335,0.014682881,0.036988004,0.125144634,1.195625796,0.054893724,0.075523727,0.122141015,0.164681171
AllanJones_2011G,845.47,131.5526241,35.2266446,8.062878882,0.02830693,0.000216422,0.012219278,0.014711351,0.036657834,0.118451697,1.135493138,0.05187829,0.073604755,0.119364859,0.15563487
AllanSavory_2013,1212.03,123.7310897,41.11789676,11.77648215,0.024942712,0.000203253,0.008736701,0.010522898,0.026210102,0.102000743,0.998973996,0.041285379,0.056561576,0.098729582,0.123856137
AllisonHunt_2007,201.01,208.0480283,53.29153291,10.72565027,0.025411201,0.000123238,0.011205175,0.012682411,0.033615526,0.106344305,1.047476942,0.046644883,0.062151411,0.095820995,0.13993465
AlwarBalasubramaniam_2009I,883.76,174.3228933,33.32889046,13.02275066,0.024074524,0.000140966,0.009644117,0.012313565,0.02893235,0.11192501,1.092752118,0.044859461,0.064931208,0.112066042,0.134578384
AlysonMcGregor_2014X,813.79,214.9170076,46.49221055,13.69742119,0.02030198,9.56E-05,0.00834901,0.009332898,0.025047029,0.086971501,0.889248788,0.036336512,0.050146496,0.083081087,0.109009536
AlyssaMonks_2015X,698.21,183.2529245,41.80553514,11.09925588,0.020581644,0.00011342,0.008986566,0.009574789,0.026959698,0.096629766,0.963940546,0.038423834,0.05136335,0.089935035,0.115271502
AmandaBennett_2013P,777.76,217.669435,49.1694604,13.34264879,0.02074953,9.65E-05,0.009405402,0.010444056,0.028216206,0.098980705,1.02556694,0.041842569,0.058990651,0.098813515,0.125527706
AmandaBurden_2014,1043.89,185.9798964,42.61007432,10.95200264,0.024014406,0.000130589,0.010933869,0.011283937,0.032801607,0.099827464,0.962689237,0.043095532,0.055867899,0.087798806,0.129286595
AmandaPalmer_2013,698.86,173.2174895,31.88860846,12.48874556,0.020276387,0.000119135,0.007713664,0.009313623,0.023140991,0.103464953,0.998861762,0.039101799,0.055758397,0.097485318,0.117305398
AmberCase_2010W,433.06,239.5467293,51.12648294,10.89897821,0.025262964,0.000106184,0.011585332,0.013411408,0.034755997,0.110370981,1.116877839,0.050649332,0.069923184,0.109338087,0.151947996
AmeenahGuribFakim_2014G,751.32,223.5508217,45.44066299,12.94136541,0.023015089,0.000104179,0.009722659,0.011404237,0.029167977,0.090107521,0.933999669,0.036938602,0.051337027,0.086914773,0.110815805
AmeeraHarouda_2016,424.75,266.4043407,48.32179788,13.91221895,0.019371812,7.38E-05,0.008722791,0.010404271,0.026168374,0.084818563,0.926150798,0.034708546,0.048942308,0.081859238,0.104125638
AmiKlin_2011X,1104.55,154.8906502,43.84596064,8.019269198,0.027342272,0.000181446,0.010733566,0.012637839,0.032200697,0.128329164,1.192261981,0.056151262,0.076372328,0.124378613,0.168453786
AmitSood_2011,282.12,129.6547226,28.52785765,8.695833688,0.023524129,0.000183661,0.010263003,0.012465459,0.030789009,0.112057205,1.087202183,0.046110581,0.064210538,0.107359456,0.138331742
AmitSood_2016,773.45,177.4867394,45.24875652,10.72407115,0.025039978,0.000142797,0.010155051,0.012199375,0.030465153,0.109040737,1.094267655,0.044519437,0.063028156,0.107928511,0.133558312
AmoryLovins_2005,1077.57,117.0897414,24.16268815,7.102475299,0.026522968,0.000229029,0.009970843,0.012858005,0.029912528,0.108785132,1.019948853,0.047961852,0.066580118,0.106448919,0.143885556
AmoryLovins_2012S,1551.93,120.652342,31.12285419,9.125032936,0.02656988,0.000222889,0.009255492,0.011734241,0.027766477,0.111266817,1.049931167,0.045650903,0.065694381,0.114592398,0.136952709
AmosWinter_2012X,592.69,142.1044808,36.56643103,10.7400195,0.024340724,0.000172472,0.009480527,0.011601156,0.02844158,0.12638444,1.171302198,0.056522919,0.076815428,0.120223637,0.169568757
AmyAdeleHasinoff_2016X,793.09,228.1702321,55.63871989,13.22168768,0.021494567,9.55E-05,0.009098838,0.009911632,0.027296514,0.087568785,0.899642006,0.036513925,0.048723322,0.078044911,0.109541774
AmyCuddy_2012G,1120.64,254.2709249,44.82580491,11.79580462,0.018808793,7.52E-05,0.008115437,0.009561513,0.024346312,0.113230834,1.098496289,0.045623242,0.063757598,0.112205441,0.136869726
AmyGreen_2017S,591.84,230.364397,41.94298137,12.71823122,0.019928921,8.79E-05,0.009056599,0.009940508,0.027169796,0.100521687,1.006757944,0.042673096,0.058751016,0.09643095,0.128019289
AmyLockwood_2011G,221.74,230.2808619,48.6380595,13.15562999,0.020103575,8.91E-05,0.008079593,0.009020089,0.02423878,0.093399001,0.92363044,0.037032139,0.050392102,0.085884151,0.111096418
AmyPurdy_2011X,492.37,258.2978419,46.96916333,10.28192008,0.018609515,7.28E-05,0.008485469,0.009423296,0.025456406,0.108986588,1.099074355,0.048204252,0.06583389,0.105335414,0.144612756
AmySmith_2006,787.01,273.9990691,50.57671467,10.50845639,0.020269529,7.65E-05,0.009393087,0.011073197,0.02817926,0.10863373,1.098454662,0.047149168,0.067368536,0.113155033,0.141447504
AmyTan_2008,1143.21,197.8828764,35.96332778,12.3369821,0.021491546,0.000109563,0.009969763,0.010901365,0.029909289,0.086615528,0.915652229,0.037140577,0.05107839,0.081437527,0.11142173
AmyWebb_2013S,904.5,228.1570089,49.08626657,9.460513859,0.019360067,8.61E-05,0.007696516,0.009178809,0.023089549,0.112674726,1.068002479,0.048915277,0.066246364,0.108546386,0.14674583
AnandAgarawala_2007,219.86,128.5475197,22.26484348,9.369734504,0.023123672,0.000182685,0.00832151,0.010792564,0.024964529,0.105834086,1.015018775,0.042963564,0.060943848,0.103213302,0.128890691
AnandGiridharadas_2015,1009.69,150.1499541,30.43870784,10.36423156,0.021229852,0.000143481,0.007715605,0.009834162,0.023146815,0.1022594,1.033202244,0.041208784,0.057802993,0.09931832,0.123626351
AnandGiridharadas_2016T,907.26,132.528722,32.35798838,9.289452796,0.025291864,0.0001944,0.010394486,0.013053895,0.031183458,0.118351464,1.152297964,0.05199838,0.072943981,0.117792745,0.155995139
AnandVarma_2015,297.09,160.8269854,28.88393173,10.90041907,0.022169245,0.000138549,0.010010731,0.011702577,0.030032192,0.107499983,1.102873862,0.045532239,0.065952108,0.112413785,0.136596717
AnandaShankar_2009I,660.94,208.9401546,52.04176347,8.595158057,0.027643733,0.000147438,0.014074144,0.016493021,0.042222431,0.130500482,1.217991212,0.061724833,0.078862908,0.113917954,0.185174498
AnantAgarwal_2013G,818.47,153.8793651,47.87199136,9.219619607,0.029556138,0.000195934,0.010483642,0.013492571,0.031450926,0.123587176,1.121424437,0.048729297,0.069792462,0.120083767,0.146187892
AnasAremeyawAnas_2013,590.46,151.3622152,45.2903474,8.997965271,0.027781891,0.000188976,0.011235794,0.013934144,0.033707381,0.135167463,1.23215548,0.060152442,0.082168681,0.12940167,0.180457325
AnastasiaTaylorLind_2014U,284.06,177.4350838,31.68972051,10.4210341,0.022854932,0.000129666,0.010028385,0.01108607,0.030085154,0.115834762,1.105653104,0.050007899,0.069064084,0.111978566,0.150023698
AndersFjellberg_2015G,785.01,135.4144284,28.93904273,9.581725442,0.022208031,0.000166489,0.00857483,0.010492964,0.025724491,0.118223289,1.099729219,0.047412496,0.067352839,0.11804111,0.142237487
AndersYnnerman_2010X,936.79,126.4033388,28.53335868,7.781151858,0.025051133,0.000200962,0.01047511,0.011541047,0.03142533,0.123469266,1.164992951,0.050637698,0.070084822,0.118541438,0.151913095
AndrasForgacs_2013G,485.21,139.7728583,34.28003546,7.906273142,0.026563221,0.000191779,0.00855968,0.01181131,0.025679041,0.11808157,1.06406821,0.050321894,0.067673844,0.10772215,0.150965682
AndreaGhez_2009G,856.08,256.060752,77.18224898,10.51091738,0.024890786,9.95E-05,0.009852268,0.011045495,0.029556804,0.103322233,0.998043932,0.042807514,0.057177472,0.090983678,0.128422541
AndreasEkstrom_2015X,500.07,140.9618298,35.66031438,8.921037869,0.029008672,0.000210976,0.011302885,0.013532147,0.033908654,0.127506895,1.172258284,0.053538329,0.074677621,0.126508577,0.160614987
AndreasRaptopoulos_2013G,510.03,128.9558548,26.18527039,9.540544698,0.027574017,0.00021737,0.009970482,0.013236605,0.029911447,0.120090288,1.10076919,0.047723867,0.065574392,0.108501896,0.143171602
AndreasSchleicher_2012G,1108.65,155.2798289,30.30156523,8.292441385,0.027042096,0.000176915,0.011526841,0.013680879,0.034580523,0.133944248,1.225790695,0.058396649,0.082944498,0.138789958,0.175189948
AndresLozano_2013X,820.53,148.3964164,36.94049949,10.20116875,0.028198493,0.000191738,0.011368878,0.014332317,0.034106634,0.124134411,1.188905184,0.053949366,0.075607315,0.127232561,0.161848098
AndresRuzo_2014G,816.48,167.818233,37.50796726,10.74463142,0.02712171,0.000165635,0.011250118,0.012751138,0.033750354,0.107538236,1.047404978,0.047663685,0.063147715,0.101980598,0.142991054
AndrewBastawrous_2014U,339.17,126.8549799,90.7895519,7.404447796,0.029234029,0.0002414,0.011437579,0.014306782,0.034312736,0.145620954,1.326907161,0.059896773,0.092958002,0.163584837,0.179690319
AndrewBird_2010,287.01,128.1158058,38.67408713,11.00763618,0.031165952,0.000259098,0.015161977,0.017741311,0.045485932,0.126737843,1.172774763,0.059047884,0.074988088,0.106592989,0.177143652
AndrewBlum_2012G,639.25,114.5010499,23.69791108,6.674139653,0.023794642,0.000210017,0.00833673,0.011422804,0.025010191,0.131795502,1.198944665,0.050116564,0.072892437,0.134570152,0.150349691
AndrewConnolly_2014,1007.49,164.631859,47.54395848,9.561817708,0.028762541,0.000176004,0.011141224,0.013090289,0.033423671,0.104714982,1.021739179,0.046061277,0.063030307,0.096705385,0.13818383
AndrewFitzgerald_2013S,646.46,124.8132211,40.4595399,10.92357673,0.023226591,0.000189787,0.008075581,0.0103461,0.024226742,0.111234815,1.03653161,0.044175636,0.063603234,0.108193867,0.132526907
AndrewMcAfee_2012X,750.96,123.3513567,26.37553497,9.529509407,0.027907859,0.000228653,0.011175801,0.014251874,0.033527402,0.119312436,1.13096363,0.050966042,0.072209654,0.118497439,0.152898127
AndrewMcAfee_2013,764.58,133.0258379,32.94710987,10.59727623,0.024660863,0.000187007,0.008804004,0.011826337,0.026412011,0.122445141,1.13981923,0.048476188,0.069794955,0.123604308,0.145428565
AndrewMwenda_2007G,918.05,239.7434012,53.56153783,8.593449344,0.027276424,0.000115731,0.011461906,0.01376177,0.034385719,0.120256818,1.149477309,0.053329343,0.072332423,0.115540426,0.159988028
AndrewPelling_2016U,366.71,135.9887229,46.68585834,9.57381484,0.029359372,0.00022093,0.010632197,0.013236764,0.031896591,0.114503022,1.104209034,0.047256522,0.06711973,0.113959915,0.141769566
AndrewSolomon_2013P,1263.66,135.3068667,21.95671371,10.4770937,0.023125535,0.000172666,0.009425611,0.011570753,0.028276833,0.116210895,1.091427887,0.044080028,0.063448237,0.119602309,0.132240083
AndrewSolomon_2013X,1602.45,138.8228941,23.22370768,10.80321842,0.024794782,0.000180945,0.010677254,0.012143721,0.032031763,0.115772254,1.096143033,0.047197259,0.067113525,0.116735947,0.141591776
AndrewSolomon_2014,1120.83,149.3731932,23.05255953,11.20373706,0.021560088,0.000145613,0.009319047,0.011132065,0.027957141,0.108136137,1.057502179,0.042661153,0.060990783,0.10821306,0.127983459
